Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,1284047
0.02,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,2568093
0.03,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,3852140
0.04,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,5136186
0.05,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,6420233
0.06,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,7704280
0.07,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,8988326
0.08,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,10272370
0.09,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,11556420
0.10,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,12840470
0.11,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,14124510
0.12,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,15408560
0.13,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,16692610
0.14,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,17976650
0.15,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,19260700
0.16,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,20544750
0.17,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,21828790
0.18,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,23112840
0.19,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,24396890
0.20,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,25680930
0.21,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,26964980
0.22,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,28249030
0.23,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,29533070
0.24,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,30817120
0.25,0,0.5828595768198394588721304761,0.58285957681984,0.565210972751105,0.58285957681984,0.565210972751105,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,32101170
0.26,0,0.5829716189900794588721304761,0.58297161899008,0.565323014921345,0.58297161899008,0.565323014921345,0,0,0,0,11.881794230828620629435830609,160.49839681306879728429585486,152.1396421507028059537526552,33385210
