,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
0,147.0,0.3,6.975750960945286,1.1396,1119.1912,1.431
1,161.7,0.3,7.684995960268047,1.139,1120.0194,1.431
2,176.4,0.3,8.394803217056108,1.1384,1120.8466,1.4309
3,191.0,0.3,9.100871968361368,1.1379,1121.4192,1.4309
4,205.7,0.3,9.81252683299146,1.1374,1121.9910000000002,1.4309
5,220.4,0.3,10.524807793324102,1.137,1122.7515,1.4308
6,235.1,0.3,11.237512547201376,1.1366,1123.0687999999998,1.4308
7,249.8,0.3,11.951009472777725,1.1362,1123.3854999999999,1.4308
8,264.5,0.3,12.665198237885463,1.1358,1124.1453999999999,1.4307
9,279.2,0.3,13.37997795562371,1.1355,1124.4612,1.4307
10,293.9,0.3,14.095247230348663,1.1352,1124.9676,1.4307
11,308.6,0.3,14.810193405960552,1.1349,1125.2826000000002,1.4307
12,323.3,0.3,15.526846604552878,1.1346,1125.7888,1.4306
13,338.0,0.3,16.242971791051946,1.1343,1125.85,1.4306
14,352.7,0.3,16.959992306212733,1.1341,1126.356,1.4306
15,58.8,0.5,2.6484100531483645,1.1644,1208.144,1.4326
16,73.5,0.5,3.3244380116694554,1.1626,1211.1110999999999,1.4324
17,88.2,0.5,4.003086279671402,1.1611,1213.7691000000002,1.4323
18,102.9,0.5,4.6838727297555645,1.1598,1215.6508,1.4322
19,117.6,0.5,5.366432417632563,1.1587,1217.2714,1.4322
20,132.3,0.5,6.050489344187324,1.1578,1219.1066,1.4321
21,147.0,0.5,6.736012463914219,1.1569,1219.9512,1.432
22,161.7,0.5,7.422879177377892,1.1561,1221.2695,1.432
23,176.4,0.5,8.110717734148697,1.1554,1222.3301999999999,1.4319
24,191.0,0.5,8.795358261189905,1.1548,1223.3897,1.4319
25,205.7,0.5,9.485382274278336,1.1542,1224.192,1.4319
26,220.4,0.5,10.175908398356341,1.1536,1224.9933,1.4318
27,235.1,0.5,10.867655896084685,1.1531,1225.7936,1.4318
28,249.8,0.5,11.559998148919432,1.1526,1226.8168,1.4317
29,264.5,0.5,12.25331233206708,1.1522,1227.36,1.4317
30,279.2,0.5,12.946904706700671,1.1518,1227.6468,1.4317
31,293.9,0.5,13.641849238767172,1.1513,1228.6692,1.4316
32,308.6,0.5,14.336817653890826,1.151,1228.9550000000002,1.4316
33,323.3,0.5,15.032315060212953,1.1506,1229.7215,1.4316
34,338.0,0.5,15.728245695672406,1.1502,1230.0064,1.4316
35,352.7,0.5,16.425278256415034,1.1499,1230.2907,1.4315
36,58.8,0.7,2.5483227875530896,1.1832,1275.6685,1.4336
37,73.5,0.7,3.198990250696379,1.1813,1279.1432,1.4335
38,88.2,0.7,3.8523695129941036,1.1797,1281.8268,1.4334
39,102.9,0.7,4.507819687212511,1.1784,1284.2165,1.4333
40,117.6,0.7,5.165370931611543,1.1772,1286.3415,1.4332
41,132.3,0.7,5.824345146379045,1.1762,1288.4397999999999,1.4332
42,147.0,0.7,6.4851987470772485,1.1752,1289.7792000000002,1.4331
43,161.7,0.7,7.14696132596685,1.1744,1291.3544,1.4331
44,176.4,0.7,7.810493690502546,1.1736,1292.669,1.433
45,191.0,0.7,8.470442148210564,1.1729,1293.9822,1.433
46,205.7,0.7,9.135725706164505,1.1722,1294.5348000000001,1.4329
47,220.4,0.7,9.802090282410497,1.1716,1296.087,1.4329
48,235.1,0.7,10.469362308514429,1.171,1296.879,1.4328
49,249.8,0.7,11.137366801908245,1.1705,1297.67,1.4328
50,264.5,0.7,11.80645449270187,1.17,1298.46,1.4328
51,279.2,0.7,12.475981947361364,1.1695,1299.249,1.4327
