time,thrust
0,0
0.01,3923.882373
0.02,4322.011921
0.03,5071.428104
0.04,5524.284376
0.05,5833.265363
0.06,6079.32717
0.07,6250.751144
0.08,6384.428254
0.09,6490.673064
0.1,6576.283102
0.11,6645.94599
0.12,6703.036006
0.13,6774.19655
0.14,6813.144929
0.15,6845.355603
0.16,6802.666873
0.17,6830.213475
0.18,6853.150443
0.19,6872.226215
0.2,6833.596388
0.21,6864.58061
0.22,6831.546382
0.23,6796.093974
0.24,6765.21943
0.25,6732.083346
0.26,6703.276324
0.27,6672.341786
0.28,6645.50627
0.29,6616.658379
0.3,6591.736328
0.31,6564.861082
0.32,6538.945359
0.33,6543.937431
0.34,6519.553615
0.35,6498.700769
0.36,6476.026989
0.37,6454.183122
0.38,6435.662932
0.39,6415.3729
0.4,6395.836337
0.41,6377.028539
0.42,6361.322481
0.43,6343.873449
0.44,6327.083098
0.45,6310.928913
0.46,6297.675791
0.47,6282.702771
0.48,6268.302545
0.49,6254.454858
0.5,6243.32731
0.51,6230.501101
0.52,6244.675361
0.53,6232.558496
0.54,6220.910607
0.55,6209.714495
0.56,6201.015115
0.57,6190.649067
0.58,6180.68711
0.59,6171.114076
0.6,6161.915287
0.61,6153.076549
0.62,6144.584142
0.63,6136.424807
0.64,6130.553913
0.65,6122.99956
0.66,6115.742009
0.67,6108.769718
0.68,6102.071552
0.69,6095.636771
0.7,6089.455023
0.71,6083.516328
0.72,6077.811072
0.73,6072.329995
0.74,6067.064176
0.75,6062.005029
0.76,6059.02459
0.77,6054.331844
0.78,6049.822756
0.79,6045.48993
0.8,6041.326256
0.81,6037.324892
0.82,6033.479262
0.83,6029.783045
0.84,6026.230162
0.85,6022.814788
0.86,6019.531285
0.87,6016.374275
0.88,6013.33858
0.89,6010.419226
0.9,6007.611436
0.91,6004.910624
0.92,6002.312386
0.93,5999.812494
0.94,5997.40689
0.95,5995.091679
0.96,5992.863123
0.97,5990.717634
0.98,5988.65177
0.99,5986.662228
1,5984.745839
1.01,5982.899564
1.02,5981.120487
1.03,5981.201783
1.04,5979.527096
1.05,5977.912441
1.06,5976.355316
1.07,5974.853321
1.08,5973.404154
1.09,5972.005622
1.1,5970.65558
1.11,5969.352015
1.12,5968.092979
1.13,5966.87661
1.14,5965.701118
1.15,5964.564791
1.16,5963.465984
1.17,5962.403125
1.18,5961.374703
1.19,5960.379273
1.2,5959.415447
1.21,5958.481897
1.22,5957.577349
1.23,5956.700583
1.24,5955.85043
1.25,5955.025769
1.26,5954.225524
1.27,5953.448669
1.28,5952.694215
1.29,5951.961232
1.3,5951.248786
1.31,5950.556025
1.32,5949.882116
1.33,5949.226263
1.34,5948.587703
1.35,5947.965703
1.36,5947.359564
1.37,5946.768615
1.38,5946.192211
1.39,5945.629737
1.4,5945.080602
1.41,5944.544241
1.42,5944.020112
1.43,5943.507695
1.44,5943.006492
1.45,5942.516029
1.46,5942.035847
1.47,5941.565523
1.48,5941.104611
1.49,5940.652723
1.5,5940.209475
1.51,5939.774498
1.52,5939.347438
1.53,5938.927958
1.54,5960.500541
1.55,5959.854976
1.56,5959.226013
1.57,5958.61297
1.58,5958.015174
1.59,5957.431984
1.6,5956.862783
1.61,5956.306982
1.62,5955.764028
1.63,5955.233353
1.64,5954.71445
1.65,5954.206823
1.66,5953.709993
1.67,5953.223505
1.68,5952.746921
1.69,5952.27982
1.7,5951.821801
1.71,5951.372478
1.72,5950.931483
1.73,5950.498462
1.74,5950.073075
1.75,5949.654999
1.76,5949.243934
1.77,5948.839556
1.78,5948.441593
1.79,5948.049772
1.8,5947.663828
1.81,5947.283512
1.82,5946.908582
1.83,5946.538808
1.84,5946.173968
1.85,5945.81385
1.86,5945.458252
1.87,5945.106978
1.88,5944.759843
1.89,5944.416667
1.9,5944.077293
1.91,5943.74153
1.92,5943.409233
1.93,5943.080254
1.94,5942.754446
1.95,5942.431673
1.96,5942.1118
1.97,5941.794702
1.98,5941.480257
1.99,5941.168348
2,5940.858862
2.01,5940.551694
2.02,5940.246754
2.03,5939.943917
2.04,5939.643102
2.05,5939.344218
2.06,5939.04718
2.07,5938.751904
2.08,5938.45831
2.09,5938.166324
2.1,5937.875871
2.11,5937.586882
2.12,5937.299289
2.13,5937.013042
2.14,5936.728054
2.15,5936.444277
2.16,5936.161655
2.17,5935.880135
2.18,5935.599665
2.19,5935.320194
2.2,5935.041675
2.21,5934.764062
2.22,5934.487312
2.23,5934.211382
2.24,5933.936233
2.25,5933.661838
2.26,5933.388135
2.27,5933.115102
2.28,5932.842704
2.29,5932.570908
2.3,5932.299685
2.31,5932.029003
2.32,5931.758835
2.33,5931.489152
2.34,5931.219929
2.35,5930.951153
2.36,5930.682774
2.37,5930.414782
2.38,5930.147154
2.39,5929.87987
2.4,5929.612909
2.41,5929.346251
2.42,5929.079877
2.43,5928.813771
2.44,5928.547913
2.45,5928.282302
2.46,5928.016894
2.47,5927.751689
2.48,5927.48667
2.49,5927.221825
2.5,5926.95714
2.51,5926.692602
2.52,5926.428199
2.53,5926.163919
2.54,5925.89975
2.55,5925.635695
2.56,5925.371718
2.57,5925.107821
2.58,5924.843996
2.59,5924.580232
2.6,5924.316521
2.61,5924.052854
2.62,5923.789224
2.63,5923.525623
2.64,5923.262056
2.65,5922.99849
2.66,5922.734931
2.67,5922.471374
2.68,5922.20781
2.69,5921.944235
2.7,5921.680643
2.71,5921.417028
2.72,5921.153385
2.73,5920.889721
2.74,5920.626006
2.75,5920.362248
2.76,5920.098443
2.77,5919.834586
2.78,5919.570672
2.79,5919.306699
2.8,5919.042663
2.81,5918.778559
2.82,5918.514396
2.83,5918.250147
2.84,5917.98582
2.85,5917.721412
2.86,5917.456921
2.87,5917.192343
2.88,5916.927675
2.89,5916.662916
2.9,5916.398076
2.91,5916.133125
2.92,5915.868075
2.93,5915.602924
2.94,5915.337668
2.95,5915.072307
2.96,5914.806839
2.97,5914.54126
2.98,5914.275583
2.99,5914.00978
3,5913.743862
3.01,5913.477827
3.02,5913.211674
3.03,5912.945402
3.04,5912.679008
3.05,5912.412491
3.06,5912.145864
3.07,5911.879099
3.08,5911.612207
3.09,5911.345187
3.1,5911.078039
3.11,5910.81076
3.12,5910.543351
3.13,5910.27581
3.14,5910.008149
3.15,5909.74034
3.16,5909.472398
3.17,5909.204319
3.18,5908.936104
3.19,5908.667751
3.2,5908.39926
3.21,5908.13063
3.22,5907.861874
3.23,5907.592964
3.24,5907.323913
3.25,5907.05472
3.26,5906.785385
3.27,5906.515907
3.28,5906.246285
3.29,5905.976532
3.3,5905.706622
3.31,5905.436566
3.32,5905.166364
3.33,5904.896017
3.34,5904.625522
3.35,5904.35488
3.36,5904.084104
3.37,5903.813166
3.38,5903.54208
3.39,5903.270845
3.4,5902.99946
3.41,5902.727926
3.42,5902.456242
3.43,5902.184407
3.44,5901.912434
3.45,5901.640297
3.46,5901.368009
3.47,5901.095568
3.48,5900.822976
3.49,5900.550231
3.5,5900.277334
3.51,5900.004296
3.52,5899.731092
3.53,5899.457734
3.54,5899.184222
3.55,5898.910557
3.56,5898.636737
3.57,5898.362775
3.58,5898.088645
3.59,5897.81436
3.6,5897.53992
3.61,5897.265324
3.62,5896.990572
3.63,5896.715665
3.64,5896.440614
3.65,5896.165393
3.66,5895.890016
3.67,5895.614482
3.68,5895.338791
3.69,5895.062943
3.7,5894.786938
3.71,5894.510787
3.72,5894.234466
3.73,5893.957987
3.74,5893.681349
3.75,5893.404554
3.76,5893.1276
3.77,5892.850499
3.78,5892.573228
3.79,5892.295797
3.8,5892.018207
3.81,5891.740458
3.82,5891.462549
3.83,5891.184493
3.84,5890.906265
3.85,5890.627877
3.86,5890.349329
3.87,5890.07062
3.88,5889.791751
3.89,5889.512722
3.9,5889.233544
3.91,5888.954193
3.92,5888.674681
3.93,5888.395008
3.94,5888.115174
3.95,5887.835178
3.96,5887.555033
3.97,5887.274714
3.98,5886.994234
3.99,5886.713591
4,5886.432786
4.01,5886.151819
4.02,5885.870703
4.03,5885.589411
4.04,5885.307957
4.05,5885.02634
4.06,5884.74456
4.07,5884.462617
4.08,5884.180524
4.09,5883.898255
4.1,5883.615823
4.11,5883.333227
4.12,5883.050468
4.13,5882.767544
4.14,5882.48447
4.15,5882.201219
4.16,5881.917804
4.17,5881.634225
4.18,5881.350482
4.19,5881.066587
4.2,5880.782514
4.21,5880.498277
4.22,5880.213875
4.23,5879.929308
4.24,5879.644577
4.25,5879.359692
4.26,5879.07463
4.27,5878.789403
4.28,5878.504009
4.29,5878.218451
4.3,5877.932726
4.31,5877.646849
4.32,5877.360792
4.33,5877.07457
4.34,5876.788182
4.35,5876.501627
4.36,5876.214918
4.37,5875.92803
4.38,5875.640976
4.39,5875.353754
4.4,5875.066366
4.41,5874.778811
4.42,5874.491101
4.43,5874.203212
4.44,5873.915155
4.45,5873.626931
4.46,5873.338539
4.47,5873.049992
4.48,5872.761264
4.49,5872.472369
4.5,5872.183305
4.51,5871.894074
4.52,5871.604674
4.53,5871.315118
4.54,5871.025381
4.55,5870.735476
4.56,5870.445402
4.57,5870.155159
4.58,5869.864759
4.59,5869.574178
4.6,5869.283428
4.61,5868.992508
4.62,5868.701419
4.63,5868.410173
4.64,5868.118745
4.65,5867.827147
4.66,5867.535379
4.67,5867.243441
4.68,5866.951346
4.69,5866.659068
4.7,5866.366619
4.71,5866.074
4.72,5865.78121
4.73,5865.488263
4.74,5865.195131
4.75,5864.901829
4.76,5864.608356
4.77,5864.314712
4.78,5864.020909
4.79,5863.726922
4.8,5863.432764
4.81,5863.138434
4.82,5861.207352
4.83,5860.933199
4.84,5860.658043
4.85,5860.381927
4.86,5860.104884
4.87,5859.826943
4.88,5859.548147
4.89,5859.268497
4.9,5858.988034
4.91,5858.706783
4.92,5858.424768
4.93,5858.142026
4.94,5857.858554
4.95,5857.574387
4.96,5857.289545
4.97,5857.004049
4.98,5856.71793
4.99,5856.431181
5,5856.143833
5.01,5855.855903
5.02,5855.567407
5.03,5855.278373
5.04,5854.988791
5.05,5854.698689
5.06,5854.408079
5.07,5854.116975
5.08,5853.825402
5.09,5853.533348
5.1,5853.240836
5.11,5852.947878
5.12,5852.654497
5.13,5852.360678
5.14,5852.066445
5.15,5851.771805
5.16,5851.476769
5.17,5851.181357
5.18,5850.885554
5.19,5850.589379
5.2,5850.29284
5.21,5849.995945
5.22,5849.698713
5.23,5849.401126
5.24,5849.103203
5.25,5848.80495
5.26,5848.506386
5.27,5848.207492
5.28,5847.908285
5.29,5847.608772
5.3,5847.308956
5.31,5847.008855
5.32,5846.70845
5.33,5846.407756
5.34,5846.106779
5.35,5845.805534
5.36,5845.504002
5.37,5845.202197
5.38,5844.900125
5.39,5844.597787
5.4,5844.295201
5.41,5843.992343
5.42,5843.689231
5.43,5843.385866
5.44,5843.082264
5.45,5842.778403
5.46,5842.474298
5.47,5842.169951
5.48,5841.865365
5.49,5841.560554
5.5,5841.255495
5.51,5840.950204
5.52,5840.644682
5.53,5840.338943
5.54,5840.032965
5.55,5839.726761
5.56,5839.420334
5.57,5839.113697
5.58,5838.806827
5.59,5838.499738
5.6,5838.192431
5.61,5837.884908
5.62,5837.577182
5.63,5837.26923
5.64,5836.961065
5.65,5836.652689
5.66,5836.344114
5.67,5836.035318
5.68,5835.726313
5.69,5835.417101
5.7,5835.107694
5.71,5834.798069
5.72,5834.488239
5.73,5834.178205
5.74,5833.867979
5.75,5833.557538
5.76,5833.246896
5.77,5832.936052
5.78,5832.625006
5.79,5832.313773
5.8,5832.002328
5.81,5831.690684
5.82,5831.378841
5.83,5831.066811
5.84,5830.754572
5.85,5830.442135
5.86,5830.129502
5.87,5829.816684
5.88,5829.503657
5.89,5829.190435
5.9,5828.877016
5.91,5828.563415
5.92,5828.249607
5.93,5827.935604
5.94,5827.621406
5.95,5827.307027
5.96,5826.992441
5.97,5826.677661
5.98,5826.362688
5.99,5826.047534
6,5825.732174
6.01,5825.416621
6.02,5825.100875
6.03,5824.784949
6.04,5824.468817
6.05,5824.152493
6.06,5823.835977
6.07,5823.519281
6.08,5823.20238
6.09,5822.885287
6.1,5822.568001
6.11,5822.250536
6.12,5821.932867
6.13,5821.615006
6.14,5821.296953
6.15,5820.97872
6.16,5820.660283
6.17,5820.341655
6.18,5820.022835
6.19,5819.703835
6.2,5819.384631
6.21,5819.065235
6.22,5818.745647
6.23,5818.42588
6.24,5818.105909
6.25,5817.785746
6.26,5817.465391
6.27,5817.144857
6.28,5816.824118
6.29,5816.503187
6.3,5816.182077
6.31,5815.860762
6.32,5815.539255
6.33,5815.217556
6.34,5814.895677
6.35,5814.573594
6.36,5814.251318
6.37,5813.92885
6.38,5813.606201
6.39,5813.283348
6.4,5812.960303
6.41,5812.637064
6.42,5812.313645
6.43,5811.990021
6.44,5811.666204
6.45,5811.342206
6.46,5811.018003
6.47,5810.693607
6.48,5810.369018
6.49,5810.044247
6.5,5809.719271
6.51,5809.394101
6.52,5809.068738
6.53,5808.743193
6.54,5808.417442
6.55,5808.091497
6.56,5807.76537
6.57,5807.439037
6.58,5807.11251
6.59,5806.785788
6.6,5806.458884
6.61,5806.131774
6.62,5805.804469
6.63,5805.476969
6.64,5805.149286
6.65,5804.821396
6.66,5804.493311
6.67,5804.165043
6.68,5803.836567
6.69,5803.507896
6.7,5803.179029
6.71,5802.849979
6.72,5802.520721
6.73,5802.191267
6.74,5801.861617
6.75,5801.531782
6.76,5801.20174
6.77,5800.871501
6.78,5800.541077
6.79,5800.210445
6.8,5799.879616
6.81,5799.548591
6.82,5799.21738
6.83,5798.88596
6.84,5798.554342
6.85,5798.222539
6.86,5797.890527
6.87,5797.558317
6.88,5797.22591
6.89,5796.893316
6.9,5796.560512
6.91,5796.22751
6.92,5795.894322
6.93,5795.560924
6.94,5795.227327
6.95,5794.893531
6.96,5794.559548
6.97,5794.225354
6.98,5793.890962
6.99,5793.556382
7,5793.22159
7.01,5792.8866
7.02,5792.551421
7.03,5792.216031
7.04,5791.880441
7.05,5791.544651
7.06,5791.208672
7.07,5790.872482
7.08,5790.536091
7.09,5790.199511
7.1,5789.862719
7.11,5789.525726
7.12,5789.188532
7.13,5788.851149
7.14,5804.598109
7.15,5804.054781
7.16,5803.519219
7.17,5802.991111
7.18,5802.470168
7.19,5801.956114
7.2,5801.448649
7.21,5800.94752
7.22,5800.452472
7.23,5799.96327
7.24,5799.479657
7.25,5799.001417
7.26,5798.528345
7.27,5798.060208
7.28,5797.596817
7.29,5797.137991
7.3,5796.68352
7.31,5796.233238
7.32,5795.786974
7.33,5795.344574
7.34,5794.905857
7.35,5794.470683
7.36,5794.038917
7.37,5793.610395
7.38,5793.184993
7.39,5792.762595
7.4,5792.343052
7.41,5791.926255
7.42,5791.512102
7.43,5791.100458
7.44,5790.691228
7.45,5790.284311
7.46,5789.879619
7.47,5789.477036
7.48,5789.076482
7.49,5788.677882
7.5,5788.281127
7.51,5787.886151
7.52,5787.492886
7.53,5787.101236
7.54,5786.71114
7.55,5786.322541
7.56,5785.93535
7.57,5785.549516
7.58,5785.164988
7.59,5784.781685
7.6,5784.399563
7.61,5784.018567
7.62,5783.638656
7.63,5783.259758
7.64,5782.881836
7.65,5782.504855
7.66,5782.128749
7.67,5781.753484
7.68,5781.379034
7.69,5781.005333
7.7,5780.632358
7.71,5780.260081
7.72,5779.888446
7.73,5779.517431
7.74,5779.147014
7.75,5778.777141
7.76,5778.407794
7.77,5778.038955
7.78,5777.670575
7.79,5777.302638
7.8,5776.935129
7.81,5776.568002
7.82,5776.201245
7.83,5775.834845
7.84,5775.468759
7.85,5775.102977
7.86,5774.73749
7.87,5774.372256
7.88,5774.007268
7.89,5773.642507
7.9,5773.277969
7.91,5772.913613
7.92,5772.549436
7.93,5772.185433
7.94,5771.821566
7.95,5771.457834
7.96,5771.094234
7.97,5770.730729
7.98,5770.367319
7.99,5770.004003
8,5769.640747
8.01,5769.277551
8.02,5768.914415
8.03,5768.551307
8.04,5768.188227
8.05,5767.825178
8.06,5767.462128
8.07,5767.099079
8.08,5766.736034
8.09,5766.372962
8.1,5766.009867
8.11,5765.646752
8.12,5765.283587
8.13,5764.920377
8.14,5764.557127
8.15,5764.193807
8.16,5763.830422
8.17,5763.466978
8.18,5763.103445
8.19,5762.739843
8.2,5762.376141
8.21,5762.012347
8.22,5761.648466
8.23,5761.284472
8.24,5760.920371
8.25,5760.55617
8.26,5760.191842
8.27,5759.827394
8.28,5759.462834
8.29,5759.098135
8.3,5758.733306
8.31,5758.368352
8.32,5758.00325
8.33,5757.638006
8.34,5757.27263
8.35,5756.907094
8.36,5756.541408
8.37,5756.175581
8.38,5755.809586
8.39,5755.443433
8.4,5755.07713
8.41,5754.710652
8.42,5754.344009
8.43,5753.977208
8.44,5753.610227
8.45,5753.243073
8.46,5752.875756
8.47,5752.508252
8.48,5752.140581
8.49,5751.772718
8.5,5751.404674
8.51,5751.036458
8.52,5750.668046
8.53,5750.299447
8.54,5749.930671
8.55,5749.561695
8.56,5749.192528
8.57,5748.823179
8.58,5748.453626
8.59,5748.083878
8.6,5747.713945
8.61,5747.343803
8.62,5746.973463
8.63,5746.602935
8.64,5746.232195
8.65,5745.861264
8.66,5745.49012
8.67,5745.118772
8.68,5744.74723
8.69,5744.375472
8.7,5744.003507
8.71,5743.631347
8.72,5743.258967
8.73,5742.886378
8.74,5742.513591
8.75,5742.140582
8.76,5741.767373
8.77,5741.393941
8.78,5741.020297
8.79,5740.646451
8.8,5740.27238
8.81,5739.898094
8.82,5739.523604
8.83,5739.148888
8.84,5738.773955
8.85,5738.398817
8.86,5738.02345
8.87,5737.647876
8.88,5737.272073
8.89,5736.896051
8.9,5736.519821
8.91,5736.143359
8.92,5735.766678
8.93,5735.389786
8.94,5735.012663
8.95,5734.635317
8.96,5734.257761
8.97,5733.879971
8.98,5733.501969
8.99,5733.123733
9,5732.745273
9.01,5732.366601
9.02,5731.987692
9.03,5731.608559
9.04,5731.229212
9.05,5730.849629
9.06,5730.46983
9.07,5730.089794
9.08,5729.709532
9.09,5729.329054
9.1,5728.948338
9.11,5728.567395
9.12,5728.186235
9.13,5727.804836
9.14,5727.423219
9.15,5727.041363
9.16,5726.659278
9.17,5726.276975
9.18,5725.894431
9.19,5725.511658
9.2,5725.128666
9.21,5724.745432
9.22,5724.361979
9.23,5723.978284
9.24,5723.594358
9.25,5723.210212
9.26,5722.825824
9.27,5722.441204
9.28,5722.056362
9.29,5721.671278
9.3,5721.285972
9.31,5720.900422
9.32,5720.51464
9.33,5720.128635
9.34,5719.742386
9.35,5719.355914
9.36,5718.969198
9.37,5718.582248
9.38,5718.195074
9.39,5717.807655
9.4,5717.420001
9.41,5717.032123
9.42,5716.643999
9.43,5716.255651
9.44,5715.867056
9.45,5715.478226
9.46,5715.089171
9.47,5714.699868
9.48,5714.31034
9.49,5713.920565
9.5,5713.530553
9.51,5713.140315
9.52,5712.749829
9.53,5712.359105
9.54,5711.968155
9.55,5711.576957
9.56,5711.185531
9.57,5710.793856
9.58,5710.401943
9.59,5710.009803
9.6,5709.617413
9.61,5709.224795
9.62,5708.831926
9.63,5708.438819
9.64,5708.045483
9.65,5707.651897
9.66,5707.258081
9.67,5706.864015
9.68,5706.469709
9.69,5706.075173
9.7,5705.680385
9.71,5705.285368
9.72,5704.890099
9.73,5704.494589
9.74,5704.098848
9.75,5703.702855
9.76,5703.306632
9.77,5702.910155
9.78,5702.513437
9.79,5702.116487
9.8,5701.719284
9.81,5701.321849
9.82,5700.92416
9.83,5700.526229
9.84,5700.128065
9.85,5699.729647
9.86,5699.330997
9.87,5698.932092
9.88,5698.532943
9.89,5698.133561
9.9,5697.733924
9.91,5697.334053
9.92,5696.933927
9.93,5696.533556
9.94,5696.132951
9.95,5695.73209
9.96,5695.330995
9.97,5694.929643
9.98,5694.528046
9.99,5694.126214
10,5693.724124
10.01,5693.3218
10.02,5692.919218
10.03,5692.51639
10.04,5692.113325
10.05,5691.710004
