,index,Magnitude,U,V,Direction
0,69383,1.7082874,-0.5144014,1.6236372,-0.3068160426987517
1,69384,1.897546,-0.74944395,1.7419839,-0.40628741231071397
2,69385,1.6416580000000003,-0.51678944,1.5572298999999998,-0.3204280905657666
3,69386,1.5727148000000002,-0.49528643,1.4909441,-0.3207270667344405
4,69387,1.5926453,-0.53512424,1.4968325,-0.3433445688825873
5,69388,1.6937895,-0.6667655,1.5513704,-0.40592191142886475
6,69389,1.7707013999999999,-0.7720791,1.5924263,-0.4514498482676774
7,69390,1.5208135,-0.72584814,1.3345461,-0.4981412090335792
8,69391,1.7596509999999999,-0.6406637,1.6348188,-0.3734926217525932
9,69392,1.6164192,-0.5916751,1.501606,-0.3753476910075946
10,69393,1.8048624,-0.6237096,1.6889714,-0.3537497216230991
11,69394,1.6419983,-0.7805449999999999,1.4404228000000001,-0.49659234350592785
12,69395,1.7233946,-0.9271234,1.450337,-0.5687787280940192
13,69396,1.6354853999999999,-0.9366206,1.3388836000000002,-0.6104261826995507
14,69397,1.4129117,-0.81749475,1.1447312,-0.620150916426774
15,69398,1.3987272,-0.85638136,1.0946832,-0.6638607515946382
16,69399,1.3732128000000001,-0.7562569,1.1344598999999997,-0.5879722733542967
17,69400,1.5111678,-0.633943,1.3660495000000001,-0.43449298594724656
18,69401,1.4270763000000002,-0.9202558000000001,1.084644,-0.7035879447467629
19,69402,1.5008663999999998,-0.9176888000000001,1.1857992,-0.6586218372974059
20,69403,1.0900364,-0.72843874,0.8049550999999999,-0.7355395139926265
21,69404,0.9704599,-0.6808675000000001,0.68487805,-0.7824616438736326
22,69405,0.9146496,-0.67086643,0.61701906,-0.8271845068508464
23,69406,1.1933322,-0.94712514,0.7196170999999999,-0.9210584087582836
24,69407,0.95388174,-0.7557822,0.5794479,-0.9167012026449614
25,69408,0.93576884,-0.6488956,0.67104906,-0.768616111175475
26,69409,0.92769206,-0.6051251,0.69753045,-0.7145806524347237
27,69410,1.2839813,-0.76425886,1.0211153,-0.6425115803864675
28,69411,1.1209168,-0.6820130999999999,0.8844120000000001,-0.6568994097817678
29,69412,0.94761294,-0.7749673,0.5373551,-0.9645199372316188
30,69413,0.82297486,-0.7719345999999999,0.28032103,-1.2224629868162733
