index,speed
69383,-0.5144014
69384,-0.74944395
69385,-0.51678944
69386,-0.49528643
69387,-0.53512424
69388,-0.6667655
69389,-0.7720791
69390,-0.72584814
69391,-0.6406637
69392,-0.5916751
69393,-0.6237096
69394,-0.780545
69395,-0.9271234
69396,-0.9366206
69397,-0.81749475
69398,-0.85638136
69399,-0.7562569
69400,-0.633943
69401,-0.9202558
69402,-0.9176888
69403,-0.72843874
69404,-0.6808675
69405,-0.67086643
69406,-0.94712514
69407,-0.7557822
69408,-0.6488956
69409,-0.6051251
69410,-0.76425886
69411,-0.6820131
69412,-0.7749673
69413,-0.7719346
69414,-0.9979711
69415,-0.7735806
69416,-0.6712669
69417,-0.6281387
69418,-0.732027
69419,-0.98206186
69420,-0.8556839
69421,-0.7412969
69422,-0.5986584
69423,-0.41758248
69424,-0.40237156
69425,-0.70240945
69426,-0.6711659
69427,-0.59016836
69428,-0.46116605
69429,-0.54646194
69430,-0.29775906
69431,-0.3682851
69432,-0.37444896
69433,-0.49923533
69434,-0.66851074
69435,-0.52025825
69436,-0.4062709
69437,-0.34576836
69438,-0.24198805
69439,-0.28601453
69440,-0.39951667
69441,-0.45743537
69442,-0.5397469
69443,-0.5379307
69444,-0.42777905
69445,-0.35284266
69446,-0.38145074
69447,-0.3967683
69448,-0.37786573
69449,-0.3995692
69450,-0.48454493
69451,-0.4009527
69452,-0.095667616
69453,-0.23926878
69454,-0.5585522
69455,-0.31089264
69456,-0.22756849
69457,-0.3637982
69458,-0.48384088
69459,-0.4246317
69460,-0.31885347
69461,-0.31802693
69462,-0.42252085
69463,-0.52930176
69464,-0.5610553
69465,-0.56575567
69466,-0.51308817
69467,-0.52786165
69468,-0.4231633
69469,-0.42580742
69470,-0.46903655
69471,-0.18345116
69472,-0.057021093
69473,-0.2586254
69474,-0.19751409
69475,-0.17329824
69476,-0.26188678
69477,-0.21103182
69478,-0.28084776
69479,-0.3948016
69480,-0.49412355
69481,-0.47056222
69482,-0.59367293
69483,-0.48515546
69484,-0.466055
69485,-0.77897877
69486,-0.72122854
69487,-0.6940818
69488,-0.66688347
69489,-0.60966605
69490,-0.29297864
69491,-0.39734975
69492,-0.5182277
69493,-0.36405838
69494,-0.29236013
69495,-0.33146346
69496,-0.56668705
69497,-0.59634733
69498,-0.57952213
69499,-0.5864691
69500,-0.43539417
69501,-0.4844433
69502,-0.35484052
69503,-0.43818757
69504,-0.3383017
69505,-0.36957195
69506,-0.34900597
69507,-0.32942677
69508,-0.39915824
69509,-0.48755956
69510,-0.36432976
69511,-0.37344286
69512,-0.5420685
69513,-0.50024307
69514,-0.39837846
69515,-0.4527448
69516,-0.52593905
69517,-0.51049864
69518,-0.41633293
69519,-0.346198
69520,-0.3693338
69521,-0.5776083
69522,-0.73434895
69523,-0.3001222
69524,-0.23174265
69525,-0.78891844
69526,-0.5996928
69527,-0.6232466
69528,-0.6701257
69529,-0.5215897
69530,-0.61657023
69531,-0.54019177
69532,-0.45843285
69533,-0.45713332
69534,-0.334736
69535,-0.4448697
69536,-0.4067914
69537,-0.43547404
69538,-0.5260089
69539,-0.46612638
69540,-0.48522213
69541,-0.43906754
69542,-0.44118246
69543,-0.7004941
69544,-0.63692033
69545,-0.5098416
69546,-0.4809722
69547,-0.5178218
69548,-0.5932697
69549,-0.5252038
69550,-0.5464501
69551,-0.58141947
69552,-0.65959954
69553,-0.6608067
69554,-0.74705756
69555,-0.78943384
69556,-0.78105736
69557,-0.70210445
69558,-0.6112573
69559,-0.5286576
69560,-0.6556546
69561,-0.6355176
69562,-0.59339935
69563,-0.6544406
69564,-0.77535415
69565,-0.88049674
69566,-0.8712075
69567,-0.75036746
69568,-0.79215485
69569,-0.72453403
69570,-0.6804219
69571,-0.7363426
69572,-0.62119985
69573,-0.5779525
69574,-0.60758346
69575,-0.6257386
69576,-0.5067788
69577,-0.5854945
69578,-0.53848815
69579,-0.5774828
69580,-0.57811856
69581,-0.6529063
69582,-0.87221074
69583,-1.0780967
