Time (s),acceleration,altitude,speed
-0.3,-3.43,1118.61,0.05
-0.29,7.35,1117.97,0.11
-0.28,9.32,1118.61,0.2
-0.27,34.32,1118.61,0.32
-0.26,12.75,1118.34,0.44
-0.25,-3.92,1118.43,0.56
-0.24,6.86,1117.97,0.69
-0.23,6.86,1116.2,0.84
-0.22,34.32,1116.67,1.03
-0.21,45.6,1117.78,1.25
-0.2,9.81,1115.74,1.49
-0.19,23.54,1112.86,1.74
-0.18,23.05,1125.58,1.97
-0.17,21.57,1115.27,2.2
-0.16,27.46,1120.19,2.41
-0.15,18.14,1121.31,2.61
-0.14,18.14,1112.96,2.81
-0.13,6.37,1119.73,3
-0.12,25.99,1110.54,3.2
-0.11,25.99,1123.53,3.4
-0.1,25.5,1117.04,3.62
-0.09,18.14,1116.48,3.83
-0.08,18.14,1116.2,4.06
-0.07,12.75,1111.01,4.32
-0.06,39.23,1120.01,4.65
-0.05,39.23,1114.62,5.1
-0.04,50.99,1115.92,5.7
-0.03,116.21,1116.29,6.44
-0.02,116.21,1118.89,7.3
-0.01,92.67,1117.04,8.2
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0.01,78.94,1129.01,9.93
0.01,78.94,1129.01,9.93
0.02,83.85,1120.84,10.71
0.02,83.85,1120.84,10.71
0.03,63.25,1120.01,11.41
0.04,63.74,1121.12,12.06
0.05,43.64,1119.54,12.67
0.06,56.39,1119.08,13.24
0.07,60.31,1120.56,13.8
0.08,46.09,1117.04,14.37
0.09,64.23,1120.47,14.94
0.1,77.47,1123.63,15.51
0.11,41.19,1118.52,16.07
0.12,41.19,1118.34,16.62
0.13,58.35,1121.4,17.15
0.14,62.27,1120.47,17.67
0.15,53.94,1121.49,18.18
0.16,36.77,1120.38,18.67
0.17,42.66,1120.84,19.15
0.18,43.64,1120.75,19.62
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.2,53.94,1120.29,20.6
0.21,39.23,1124.56,21.12
0.22,59.82,1120.56,21.64
0.23,59.82,1122.05,22.17
0.24,57.37,1120.94,22.67
0.25,41.19,1123.91,23.16
0.26,34.32,1119.36,23.63
0.27,31.87,1121.03,24.1
0.28,74.53,1121.68,24.59
0.29,53.45,1118.61,25.09
0.3,44.62,1123.91,25.6
0.31,47.07,1123.26,26.13
0.32,49.03,1122.79,26.67
0.33,68.65,1122.51,27.22
0.34,68.65,1122.23,27.79
0.34,68.65,1122.23,27.79
0.35,42.66,1124.18,28.35
0.36,63.25,1124.83,28.9
0.37,44.13,1124.18,29.43
0.38,43.64,1125.48,29.99
0.39,62.27,1124.56,30.6
0.4,33.34,1130.22,31.33
0.41,166.22,1115.65,32.19
0.42,71.1,1125.39,33.16
0.43,147.59,1122.23,34.19
0.44,97.09,1128.55,35.19
0.45,97.09,1125.95,36.11
0.46,72.08,1121.86,36.93
0.47,0.49,1123.63,37.65
0.48,126.51,1126.23,38.29
0.49,50.01,1125.11,38.87
0.5,28.93,1126.6,39.41
0.51,39.72,1126.04,39.93
0.52,63.25,1127.25,40.44
0.53,55.9,1128.74,40.94
0.54,46.58,1127.16,41.44
0.55,49.03,1126.51,41.94
0.56,49.03,1129.76,42.43
0.57,44.13,1128.46,42.91
0.58,48.54,1126.6,43.38
0.59,45.6,1128.83,43.87
0.6,51.98,1129.01,44.35
0.61,50.01,1127.53,44.85
0.62,50.5,1129.94,45.34
0.63,49.03,1130.97,45.85
0.64,51.48,1127.99,46.35
0.65,50.01,1130.32,46.86
