Time,Thrust,x-Thrust,y-Thrust,Acceleration,x-Acceleration,y-Acceleration,Acceleration Total,x-Acceleration Total,y-Acceleration Total,Velocity,x-Velocity,y-Velocity,Mach number,Altitude,Range,Cd,Drag force,x-Drag force,y-Drag force,Longitudinal moment of inertia,Radial moment of inertia,Flight angle,Gamma - Velocity tangent angle,Wind angle of attack,CG,Mass,CP,CNa - normal force coefficient,Static stability margin,Angular acceleration,Torque,Pitch rate,Pitch force,x-Wind velocity,Cross wind drag,Cross wind lift,X Wind induced acceleration,Y Wind induced lift,X Wind drift velocity,Y Wind drift velocity,Thermal rise velocity,Gravity,Pressure,Temperature,Density,Viscosity,Kinematic viscosity,Sound velocity,Corrective moment coefficient,Damping moment coefficient,Nat. Freq. at zero roll rate,Damping Ratio,Prec. Freq.,Nat. Coupled Frequency,Coupled Damping Ratio,Booster 2 Velocity,Booster 2 x-Velocity,Booster 2 y-Velocity,Booster 2 range,Booster 2 altitude,Booster 2 flight angle,Booster 1 Velocity,Booster 1 x-Velocity,Booster 1 y-Velocity,Booster 1 range,Booster 1 altitude,Booster 1 flight angle
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.669398, 0.000000, 0.000000, 0.000000,213211685.682416,75779268.263120,89.999999, 0.000000, 0.000000,150.443000,120000.000000,171.140000,10.684626, 2.587152, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000,97503.998185,58.179000, 1.180674, 0.000018, 0.000163,760.613000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.070000,4906.663654,-0.000000,4906.663654, 4.176000, 0.000000, 4.176000, 3.176000, 0.000000, 3.176000, 3.850000, 0.000000, 3.850000, 0.005062, 0.175000, 0.000000, 0.669398, 0.036270, 0.000000,-0.036270,212949202.705808,75553181.640229,89.999999,89.999999, 0.000000,150.457000,119819.929256,171.140000,10.684626, 2.585357, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 8.512431, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000,97503.405580,58.178000, 1.180668, 0.000018, 0.000163,760.613000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.140000,6053.241814,-0.000000,6053.241814, 5.160000, 0.000000, 5.160000, 4.160000, 0.000000, 4.160000, 9.496000, 0.000000, 9.496000, 0.012484, 0.852000, 0.000000, 0.669398, 0.225402, 0.000000,-0.225402,212660328.621874,75304479.204499,89.999999,89.999999, 0.000000,150.473000,119621.845743,171.140000,10.684626, 2.583375, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 8.512264, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000,97501.051870,58.176000, 1.180645, 0.000018, 0.000163,760.611000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.210000,6829.666924,-0.000000,6829.666924, 5.832000, 0.000000, 5.832000, 4.832000, 0.000000, 4.832000,16.581000, 0.000000,16.581000, 0.021800, 2.188000, 0.000000, 0.669398, 0.692861, 0.000000,-0.692861,212353151.784224,75040152.932771,89.999999,89.999999, 0.000000,150.490000,119411.318346,171.140000,10.684626, 2.581263, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 8.511934, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000,97496.386264,58.171000, 1.180599, 0.000018, 0.000163,760.607000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.280000,6680.709407,-0.066807,6680.709407, 5.715000,-0.000000, 5.715000, 4.715000,-0.000000, 4.715000,23.909000,-0.000000,23.909000, 0.031435, 4.274000, 0.000000, 0.948098, 2.050934, 0.000000,-2.050934,212000384.952131,74736767.071048,90.000377,90.000014,18.593513,150.510000,119169.681238,157.975000,10.684626, 0.933150, 0.010299, 1.422236, 0.000337, 7.500607, 8.000000, 8.498689, 0.000000, 0.007000, 0.000000, 0.006000, 0.000000, 0.000000, 1.000000,97489.070446,58.164000, 1.180527, 0.000018, 0.000163,760.602000, 4.382610,41.894582, 0.179005, 0.855578, 0.000000, 0.153918, 0.735675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.350000,6531.751890,-0.391905,6531.751890, 5.598000,-0.000000, 5.598000, 4.598000,-0.000000, 4.598000,31.058000,-0.000000,31.058000, 0.040834, 7.104000, 0.001000, 0.837597, 3.065392, 0.000031,-3.065392,211647404.801644,74433381.209325,90.003605,90.000461,14.497771,150.529000,118928.044130,160.815000,10.684626, 1.285675, 0.018500, 2.584900, 0.001350, 9.894391, 8.000000, 8.474272, 0.000000, 0.007000, 0.000000, 0.017000, 0.000000, 0.000000, 1.000000,97479.132557,58.154000, 1.180430, 0.000018, 0.000163,760.595000,10.215631,44.296945, 0.273522, 0.593022, 0.000000, 0.235263, 0.510074, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.420000,6382.794372,-1.340387,6382.794372, 5.480000,-0.001000, 5.480000, 4.480000,-0.001000, 4.480000,38.026000,-0.001000,38.026000, 0.049996,10.658000, 0.004000, 0.782061, 4.297299, 0.000129,-4.297299,211294209.952412,74129995.347602,90.012061,90.001969,11.908080,150.549000,118686.407021,162.635000,10.684626, 1.510830, 0.026489, 3.746042, 0.002932,12.202065, 8.000000, 8.449732, 0.000000, 0.007000, 0.000000, 0.029000, 0.000000, 0.000000, 1.000000,97466.638338,58.141000, 1.180307, 0.000018, 0.000163,760.585000,18.024099,46.629804, 0.363621, 0.470359, 0.000000, 0.312858, 0.404695, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.490000,6294.291079,-3.021260,6294.291079, 5.414000,-0.003000, 5.414000, 4.414000,-0.003000, 4.414000,44.832000,-0.004000,44.832000, 0.058944,14.919000, 0.007000, 0.750398, 5.736550, 0.000516,-5.736550,210952185.022506,73836380.910756,90.027985,90.005200,10.121950,150.568000,118452.552540,163.900000,10.684626, 1.666513, 0.034101, 4.886436, 0.005059,14.429779, 8.000000, 8.425075, 0.000000, 0.007000, 0.000000, 0.040000, 0.000000, 0.000000, 1.000000,97451.653130,58.126000, 1.180160, 0.000018, 0.000163,760.574000,27.659902,48.902539, 0.450816, 0.398520, 0.000000, 0.387999, 0.342990, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.560000,6286.393418,-5.783482,6286.393418, 5.416000,-0.005000, 5.416000, 4.416000,-0.005000, 4.416000,51.611000,-0.010000,51.611000, 0.067858,19.876000, 0.011000, 0.730255, 7.402659, 0.001407,-7.402659,210625146.485171,73555795.040411,90.053513,90.010855, 8.789176,150.586000,118229.074894,164.847000,10.684626, 1.782623, 0.041407, 6.018405, 0.007709,16.614921, 8.000000, 8.400304, 0.000000, 0.007000, 0.000000, 0.051000, 0.000000, 0.000000, 1.000000,97434.213677,58.108000, 1.179989, 0.000018, 0.000163,760.561000,39.233393,51.162443, 0.537328, 0.350352, 0.000000, 0.462591, 0.301621, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.630000,6278.495757,-9.857238,6278.495757, 5.417000,-0.009000, 5.417000, 4.417000,-0.009000, 4.417000,58.392000,-0.020000,58.392000, 0.076777,25.529000, 0.015000, 0.716537, 9.301509, 0.003163,-9.301509,210297920.833679,73275209.170066,90.090694,90.019602, 7.746535,150.605000,118005.597247,165.590000,10.684626, 1.873189, 0.048358, 7.137795, 0.010857,18.752487, 8.000000, 8.375415, 0.000000, 0.007000, 0.000000, 0.062000, 0.000000, 0.000000, 1.000000,97414.322028,58.088000, 1.179794, 0.000018, 0.000163,760.547000,52.793351,53.419490, 0.623790, 0.315594, 0.000000, 0.537184, 0.271778, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
 0.700000,6270.598096,-15.362965,6270.598096, 5.419000,-0.013000, 5.419000, 4.419000,-0.013000, 4.419000,65.177000,-0.037000,65.177000, 0.085699,31.878000, 0.019000, 0.706721,11.432577, 0.006402,-11.432577,209970506.939239,72994623.299722,90.141474,90.032097, 6.901736,150.623000,117782.119601,166.193000,10.684626, 1.946253, 0.054862, 8.234062, 0.014477,20.820504, 8.000000, 8.350398, 0.000000, 0.007000, 0.000000, 0.073000, 0.000000, 0.000000, 1.000000,97391.978408,58.065000, 1.179575, 0.000018, 0.000163,760.530000,68.356282,55.673354, 0.710356, 0.289278, 0.000000, 0.611912, 0.249189, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
