time,position,velocity,acceleration,g-force,mock,imperial position,imperial velocity,imperial acceleration
0.01,[0.         0.00603581],[0.         1.20716174],[  0.         120.71617392],12.305420379204893,0.003519421982507289,[0.         0.01980253],[0.         3.96050452],[  0.         396.05045204]
0.02,[0.         0.02423261],[0.         2.43219837],[  0.         122.42846068],12.4799654108053,0.0070909573469387765,[0.         0.07950332],[0.        7.9796537],[  0.         401.66819094]
0.03,[0.         0.05476937],[0.         3.67515436],[  0.         124.14198328],12.654636419979612,0.010714735743440234,[0.         0.17968954],[ 0.         12.05759343],[  0.         407.28998442]
0.04,[0.         0.09782552],[0.         4.93607432],[  0.         125.85670197],12.829429354740059,0.014390887230320703,[0.         0.32094988],[ 0.         16.19447007],[  0.         412.91570209]
0.05,[0.        0.1535809],[0.         6.21500298],[  0.         127.57257544],13.00434000407747,0.018119542215743443,[0.         0.50387436],[ 0.         20.39043038],[  0.         418.54520841]
0.06000000000000001,[0.         0.22221584],[0.         7.51198524],[  0.         129.28956085],13.179364001019366,0.021900831603498545,[0.         0.72905462],[ 0.         24.64562165],[  0.         424.17836282]
0.07,[0.        0.3039111],[0.        8.8270661],[  0.         131.00761373],13.35449681243629,0.025734886588921282,[0.         0.99708369],[ 0.         28.96019154],[  0.         429.81501943]
0.08,[0.         0.39884788],[ 0.         10.16029067],[  0.         132.72668804],13.529733745158,0.02962183868804665,[0.         1.30855608],[ 0.         33.33428804],[  0.         435.45502719]
0.09,[0.         0.50720786],[ 0.         11.51170415],[  0.        134.4467361],13.70506993883792,0.03356181967930029,[0.         1.66406784],[ 0.         37.76805944],[  0.         441.09822967]
0.1,[0.         0.62917314],[ 0.         12.88135184],[  0.         136.16770857],13.880500363914376,0.03755496163265306,[0.        2.0642164],[ 0.         42.26165437],[  0.         446.74446498]
0.11,[0.         0.76492629],[ 0.        14.2692791],[  0.         137.88955448],14.056019824668706,0.04160139679300292,[0.         2.50960077],[ 0.         46.81522164],[  0.         452.39356592]
0.11999999999999998,[0.         0.91465035],[ 0.         15.67553136],[  0.         139.61222116],14.231622952089705,0.04570125760932945,[0.         3.00082145],[ 0.         51.42891031],[  0.         458.04535967]
0.12999999999999998,[0.         1.07851972],[ 0.        17.0983433],[  0.         141.15598918],14.388989722731907,0.049849397376093285,[0.         3.53845064],[ 0.         56.09692863],[  0.         463.11021554]
0.14,[0.        1.2566186],[ 0.         18.52143259],[  0.         141.08195832],14.381443253822631,0.053998345743440236,[0.         4.12276457],[ 0.        60.7658569],[  0.         462.86733213]
0.15,[0.         1.44894961],[ 0.         19.94477053],[  0.         141.00510106],14.373608670744135,0.05814801903790087,[0.         4.75377184],[ 0.         65.43560095],[  0.         462.61517576]
0.16,[0.         1.65551511],[ 0.         21.36832835],[  0.         140.92541097],14.365485318042813,0.0622983333819242,[0.         5.43148019],[ 0.         70.10606638],[  0.         462.35372533]
0.17,[0.         1.87631714],[ 0.         22.79207718],[  0.         140.84288184],14.357072562691133,0.066449204606414,[0.         6.15589633],[ 0.        74.7771585],[  0.         462.08296046]
0.18000000000000002,[0.         2.11135746],[ 0.         24.21598807],[  0.         140.75750769],14.348369795107036,0.0706005483090379,[0.         6.92702601],[ 0.        79.4487823],[  0.         461.80286153]
0.19000000000000009,[0.         2.36063756],[ 0.         25.64003199],[  0.         140.66928278],14.339376430173292,0.0747522798542274,[0.         7.74487413],[ 0.         84.12084255],[  0.         461.51340972]
0.20000000000000004,[0.         2.62415862],[ 0.         27.06417984],[  0.         140.57820159],14.330091905198774,0.07890431440233238,[0.         8.60944457],[ 0.         88.79324379],[  0.        461.2145869]
0.21000000000000005,[0.         2.90192153],[ 0.         28.48840242],[  0.         140.48425884],14.320515681957184,0.08305656682215744,[0.         9.52074023],[ 0.        93.4658902],[  0.         460.90637577]
0.22000000000000008,[0.        3.1939269],[ 0.         29.91267047],[  0.         140.38744949],14.310647246687052,0.08720895180758018,[ 0.         10.47876313],[ 0.         98.13868578],[  0.         460.58875978]
0.2300000000000001,[0.         3.50017502],[ 0.         31.33695466],[  0.         140.28776875],14.300486111111107,0.0913613838483965,[ 0.         11.48351421],[  0.         102.81153433],[  0.         460.26172323]
0.2400000000000001,[0.         3.82066592],[ 0.         32.76122559],[  0.         140.18521204],14.290031808358815,0.0955137772303207,[ 0.         12.53499358],[  0.         107.48433936],[  0.         459.92525107]
0.2500000000000001,[0.         4.15539932],[ 0.         34.18545377],[  0.         140.07977505],14.279283899082568,0.0996660459766764,[ 0.         13.63320031],[  0.         112.15700415],[  0.         459.57932918]
0.2600000000000001,[0.         4.50437464],[ 0.         35.60960967],[  0.         139.97145371],14.268241968399591,0.10381810399416908,[ 0.         14.77813249],[  0.         116.82943179],[  0.         459.22394419]
0.2700000000000001,[0.         4.86759101],[ 0.        37.0336637],[  0.         139.86024416],14.256905622833846,0.10796986501457724,[ 0.         15.96978729],[  0.         121.50152521],[  0.         458.85908345]
0.2800000000000001,[0.         5.24504725],[ 0.         38.45758617],[  0.         139.74614283],14.245274498470948,0.11212124247813413,[ 0.         17.20816082],[  0.         126.17318701],[  0.         458.48473524]
0.2900000000000001,[0.         5.63674192],[ 0.         39.88134739],[  0.         139.62914637],14.233348253822632,0.11627214982507288,[ 0.         18.49324836],[  0.         130.84431977],[  0.         458.10088858]
0.3000000000000001,[0.         6.04267325],[ 0.         41.30491756],[  0.         139.50925168],14.221126572884812,0.12042250017492713,[ 0.         19.82504411],[  0.         135.51482573],[  0.         457.70753328]
0.3100000000000001,[0.         6.46283917],[ 0.         42.72826687],[  0.         139.38645592],14.208609166156984,0.1245722066180758,[ 0.         21.20354126],[  0.         140.18460708],[  0.         457.30466004]
0.3200000000000001,[0.         6.89723733],[ 0.         44.15136542],[  0.        139.2607565],14.195795769622837,0.1287211819825073,[ 0.         22.62873212],[  0.         144.85356572],[  0.         456.89226036]
0.3300000000000001,[0.         7.34586507],[ 0.         45.57418329],[  0.         139.13215106],14.18268614271152,0.13286933903790088,[ 0.         24.10060796],[  0.         149.52160351],[  0.         456.47032648]
0.3400000000000001,[0.         7.80871944],[ 0.         46.99669051],[  0.         139.00063751],14.169280072375125,0.13701659040816327,[ 0.         25.61915909],[  0.         154.18862209],[  0.         456.03885157]
0.3500000000000001,[0.         8.28579718],[ 0.         48.41885706],[  0.         138.86621402],14.155577372069313,0.14116284857142858,[ 0.         27.18437482],[  0.       158.854523],[  0.         455.59782961]
0.3600000000000001,[0.         8.77709473],[ 0.         49.84065287],[  0.         138.72887899],14.141577878695207,0.1453080258600583,[ 0.         28.79624347],[  0.         163.51920756],[  0.         455.14725535]
0.37000000000000016,[0.         9.28260823],[ 0.         51.26204786],[  0.        138.5886311],14.127281457696226,0.14945203457725947,[ 0.         30.45475239],[  0.        168.1825771],[  0.         454.68712446]
0.38000000000000017,[0.         9.80233353],[ 0.         52.68301189],[  0.         138.44546926],14.112687997961268,0.15359478685131195,[ 0.         32.15988794],[  0.         172.84453273],[  0.         454.21743337]
0.3900000000000002,[ 0.         10.33626858],[ 0.         54.10399838],[  0.         138.34650633],14.102600033639145,0.157737604606414,[ 0.         33.91164341],[  0.         177.50656205],[  0.         453.89275183]
0.4000000000000002,[ 0.         10.88441347],[ 0.         55.52497885],[  0.         138.24469334],14.092221543323138,0.16188040481049562,[ 0.         35.71001909],[  0.         182.16857161],[  0.        453.5587197]
0.4100000000000002,[ 0.         11.44676799],[ 0.         56.94592472],[  0.         138.14002714],14.081552205912335,0.1660231041399417,[ 0.         37.55501429],[  0.         186.83046766],[  0.         453.21532664]
0.4200000000000002,[ 0.         12.02333165],[ 0.         58.36680741],[  0.         138.03250478],14.070591720693171,0.17016561927113702,[ 0.         39.44662741],[  0.         191.49215642],[  0.         452.86256298]
0.4300000000000002,[ 0.         12.61410368],[ 0.         59.78759824],[  0.         137.92212357],14.059339813455653,0.17430786658892128,[ 0.         41.38485592],[  0.         196.15354381],[  0.         452.50041989]
0.4400000000000002,[ 0.         13.21908301],[ 0.         61.20826854],[  0.         137.80888106],14.047796234454632,0.17844976250728864,[ 0.        43.3696963],[  0.         200.81453576],[  0.         452.12888934]
0.4500000000000002,[ 0.        13.8382683],[ 0.         62.62878954],[  0.         137.69277503],14.035960757390418,0.1825912231486881,[ 0.         45.40114417],[  0.         205.47503787],[  0.         451.74796403]
0.4600000000000002,[ 0.         14.47165791],[ 0.         64.04913247],[  0.        137.5738035],14.023833180428133,0.18673216463556847,[ 0.         47.47919414],[  0.         210.13495577],[  0.         451.35763747]
0.4700000000000002,[ 0.         15.11924992],[ 0.        65.4692685],[  0.         137.45196475],14.011413328236491,0.19087250291545188,[ 0.         49.60383991],[  0.         214.79419487],[  0.         450.95790403]
0.4800000000000002,[ 0.        15.7810421],[ 0.         66.88916876],[  0.         137.32725728],13.998701047910295,0.195012153819242,[ 0.         51.77507416],[  0.         219.45266043],[  0.         450.54875877]
0.4900000000000002,[ 0.         16.45703197],[ 0.         68.30880436],[  0.         137.19967986],13.985696214067278,0.19915103311953355,[ 0.         53.99288877],[  0.        224.1102577],[  0.         450.13019767]
0.5000000000000002,[ 0.         17.14721672],[ 0.         69.72814637],[  0.         137.06923148],13.972398723751276,0.2032890564723032,[ 0.        56.2572745],[  0.         228.76689174],[  0.         449.70221741]
0.5100000000000002,[ 0.         17.85159328],[ 0.         71.14716583],[  0.        136.9359114],13.958808501529052,0.20742613944606414,[ 0.        58.5682213],[  0.         233.42246754],[  0.         449.26481556]
0.5200000000000002,[ 0.         18.57015828],[ 0.         72.56583375],[  0.         136.79971911],13.944925495412846,0.21156219752186586,[ 0.         60.92571809],[  0.      238.07689],[  0.         448.81799044]
0.5300000000000002,[ 0.         19.30290806],[ 0.         73.98412113],[  0.         136.66065435],13.930749678899081,0.2156971461516035,[ 0.         63.32975288],[  0.         242.73006397],[  0.         448.36174122]
0.5400000000000003,[ 0.         20.04983866],[ 0.         75.40199892],[  0.        136.5187171],13.916281049949033,0.2198309006413994,[ 0.         65.78031267],[  0.         247.38189414],[  0.         447.89606781]
0.5500000000000003,[ 0.         20.81094584],[ 0.         76.81943808],[  0.         136.37390762],13.90151963506626,0.2239633763265306,[ 0.         68.27738355],[  0.         252.03228523],[  0.         447.42097108]
0.5600000000000003,[ 0.         21.58622508],[ 0.         78.23640953],[  0.         136.22622638],13.886465482161059,0.228094488425656,[ 0.         70.82095069],[  0.         256.68114184],[  0.         446.93645256]
0.5700000000000003,[ 0.         22.37567155],[ 0.         79.65288419],[  0.         136.07567412],13.871118666666666,0.2322241521574344,[ 0.         73.41099825],[  0.         261.32836857],[  0.         446.44251468]
0.5800000000000003,[ 0.         23.17928013],[ 0.         81.06883296],[  0.         135.92225184],13.855479290519874,0.2363522826822157,[ 0.         76.04750942],[  0.         265.97386993],[  0.         445.93916073]
0.5900000000000003,[ 0.         23.99704543],[ 0.         82.48422672],[  0.         135.76596075],13.83954747706422,0.2404787951020408,[ 0.         78.73046653],[  0.         270.61755039],[  0.         445.42639467]
0.6000000000000003,[ 0.         24.82896175],[ 0.         83.89903638],[  0.         135.60680236],13.82332338022426,0.244603604606414,[ 0.         81.45985087],[  0.         275.25931452],[  0.         444.90422145]
0.6100000000000003,[ 0.         25.67502309],[ 0.         85.31323279],[  0.        135.4447784],13.80680717635066,0.2487266262099125,[ 0.         84.23564275],[  0.         279.89906667],[  0.         444.37264677]
0.6200000000000003,[ 0.         26.53522319],[ 0.         86.72678685],[  0.         135.27989085],13.789999067278284,0.2528477750728863,[ 0.         87.05782165],[  0.         284.53671137],[  0.        443.8316771]
0.6300000000000003,[ 0.         27.40955547],[ 0.         88.13966942],[  0.         135.11214197],13.772899283384302,0.25696696623906706,[ 0.         89.92636597],[  0.         289.17215302],[  0.         443.28131986]
0.6400000000000003,[ 0.       28.298013],[ 0.         89.55183512],[  0.         134.93997693],13.755349330275225,0.2610840674052478,[ 0.         92.84125297],[  0.         293.80524274],[  0.         442.71647391]
0.6500000000000004,[ 0.         29.20058844],[ 0.         90.96325298],[  0.        134.7647813],13.737490448521918,0.26519898827988336,[ 0.         95.80245858],[  0.         298.43587891],[  0.         442.14168508]
0.6600000000000004,[ 0.         30.11727417],[ 0.         92.37389385],[  0.         134.58673119],13.719340590214069,0.269311643877551,[ 0.         98.80995779],[  0.        303.0639659],[  0.         441.55753116]
0.6700000000000004,[ 0.         31.04806228],[ 0.         93.78372855],[  0.         134.40582998],13.700900099898062,0.27342194912536444,[  0.         101.86372465],[  0.         307.68940798],[  0.         440.96402323]
0.6800000000000004,[ 0.         31.99294456],[ 0.         95.19272798],[  0.         134.22208125],13.682169342507644,0.2775298191836735,[  0.         104.96373223],[  0.         312.31210967],[  0.         440.36117305]
0.6900000000000004,[ 0.         32.95191252],[ 0.         96.60086299],[  0.         134.03548889],13.663148714576964,0.2816351690670554,[  0.         108.10995267],[  0.         316.93197533],[  0.         439.74899337]
0.7000000000000004,[ 0.         33.92495736],[ 0.         98.00810449],[  0.       133.846057],13.64383863404689,0.2857379139650146,[  0.        111.3023571],[  0.         321.54890953],[  0.         439.12749765]
0.7100000000000004,[ 0.      34.91207],[ 0.        99.4144234],[  0.         133.65378995],13.624239546381245,0.2898379690962099,[  0.         114.54091574],[  0.         326.16281687],[  0.         438.49670022]
0.7200000000000004,[ 0.         35.91324107],[  0.         100.81979067],[  0.         133.45869236],13.604351922528028,0.2939352497667639,[  0.         117.82559783],[  0.         330.77360202],[  0.         437.85661624]
