,time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,flipped
0,0.01,1.5707963267948966,0.9746275096793588,11.852054554651149,-1.1800486893840796,-0.04140521717137122,0.0,120.244,0.0,0.0,-1179.0433135913456,0.00016614002465684707,0.0,0.0,-1179.0433135913456,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,,,,,,,,,,,
10,0.11,0.030478533086766686,0.9746275096793588,0.3611773120949091,2.702536127298748,0.09482582902802623,5398.054294,119.9996630243607,0.0,0.0,-1176.647451402535,0.00924751892107362,2.880519848689421e-14,470.4245911057705,4200.773592493803,1.5707963267948966,0.11701849008311513,8.775354824998877e-19,0.014331242005627453,0.11943934747990073,1.950882191605476e-17,0.3186032402099537,2.7102354898535603,2.400439947989401e-16,3.920215934358676,35.00654490705544,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",1.714504983616406e-17,0.2799999125968584,2.3670191839598966,-6.969827190044072e-19,-0.011382591609101891,-0.09622436111513064,-2.1834723083657072e-18,-0.035658808888994385,0.004218159041500811,
20,0.21000000000000005,0.024472731718656573,0.9306194451823584,0.2900231995532567,2.813508777574614,0.09871960623068822,6850.9465696666675,119.6704307628294,0.0,0.0,-1173.419032282217,0.023493799180564816,3.6544292342588e-14,596.8135852399494,5650.806411140448,1.5707963267948966,0.11129044456027594,4.1514934955781796e-18,0.06779903394952097,0.5884517144286673,4.714734014378369e-17,0.7699744967546479,6.8900166226977655,3.0537445306780784e-16,4.987143285401497,47.21973820199229,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",4.408921779697966e-17,0.7200315687376357,6.417015506205679,-4.636193101146053e-18,-0.07571477922244929,-0.6747800143974448,-1.2876673497998725e-17,-0.21029203696876456,0.02359615698687608,
30,0.3100000000000001,0.021828630410618933,0.930577405907676,0.25869357322630465,2.8635096040057224,0.10047402119318324,6638.150116333332,119.31742625295871,0.0,0.0,-1169.9573526560018,0.03930939450475178,3.537849497035608e-14,577.7746693167037,5440.9848752322605,1.5707963267948966,0.10896321309371508,1.0378328843354873e-17,0.16949097242699965,1.510848908699117,7.72430572451558e-17,1.261474856243211,11.531216591726697,2.9650735924651915e-16,4.842332653838789,45.60092390609489,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",7.427350603488383e-17,1.2129784046566885,11.074393421503622,-1.3473037073005659e-17,-0.22003139325373014,-2.008868587122996,-3.419522924187471e-17,-0.5584504734864408,0.0611670850607554,
40,0.4100000000000002,0.020942181611377283,0.9302791942777732,0.2481897363887665,2.8868793408579063,0.10129401195992654,6425.353663,118.97557694477877,0.0,0.0,-1166.6048888076587,0.05457100009674249,3.419929867766524e-14,558.5169324163691,5230.445093341319,1.5707963267948966,0.1081575283633948,1.9570074322860598e-17,0.3196035679264592,2.8892385300977765,1.0644237056960428e-16,1.7383358310937256,16.009538908424943,2.874480591385447e-16,4.694383055403033,43.962342756858206,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",1.0356331864788136e-16,1.6913173450497918,15.569091893905592,-2.6396274068536965e-17,-0.4310838698458212,-3.968258472162976,-6.48263124209968e-17,-1.058694024532319,0.1150091205700256,
50,0.5100000000000002,0.02058833465172501,0.928579731682007,0.24399682708603698,2.8976821519505953,0.10167305796317876,6293.162841858695,118.64382646250124,0.0,0.0,-1163.3512897920934,0.0693179802166961,3.3437959675270415e-14,546.0833229393361,5099.5741007006545,1.5707963267948966,0.1078301294290623,3.163714306388784e-17,0.5166737558276369,4.7074217346177845,1.3479910842734714e-16,2.2014365043243416,20.336594359292377,2.8183480482938463e-16,4.602711655729782,42.98221199324208,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",1.3198063979080943e-16,2.1554074184115697,19.90678698446078,-4.292379029578386e-17,-0.7009986932668111,-6.474243126402363,-1.0416812314107291e-16,-1.7011945519899931,0.1841968450450115,
60,0.6100000000000003,0.020366923247670518,0.9268697564181748,0.2413731972353155,2.9097262950632214,0.10209565947590253,6281.880469005435,118.31425198771431,0.0,0.0,-1160.118874220174,0.08397134917638567,3.3309307758506046e-14,543.9822776934096,5088.573102775461,1.5707963267948966,0.10761377668749236,4.6525767374959604e-17,0.7598234430915535,6.956039092692188,1.629683896770717e-16,2.6614757788210714,24.636194175647745,2.8153250516231016e-16,4.597774727510399,43.008961450424884,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",1.6015288851717022e-16,2.615495155479521,24.206116812355,-6.320352179978277e-17,-1.032191842477154,-9.552820719020273,-1.5232907855699154e-16,-2.487722642365929,0.26880092208611306,
70,0.7100000000000004,0.02018340676278065,0.9252484199998208,0.23919859689421916,2.9176555144281973,0.102373877699235,6270.598096152174,117.98526895673555,0.0,0.0,-1156.8921063415116,0.09863267963333222,3.3167972555703237e-14,541.6740986674047,5076.990162846468,1.5707963267948966,0.10743282441512628,6.422962271914787e-17,1.0489493421918388,9.634741816852712,1.911019041407162e-16,3.120930937373433,28.938219202975176,2.811196079729727e-16,4.5910316046830655,43.03071228924491,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",1.8829047686137796e-16,3.0750168455504574,28.50792182791892,-8.733604010469274e-17,-1.4263057751100072,-13.223021395275214,-2.093205332104211e-16,-3.4184637293978666,0.3687337722214004,
80,0.8100000000000005,0.02001912406916737,0.9237157795275304,0.23725190280699845,2.9287716562650012,0.10276391776368424,6259.315723298912,117.656877369565,0.0,0.0,-1153.670987367702,0.11330021826823235,3.3014180162601204e-14,539.1624782849545,5064.827442859103,1.5707963267948966,0.10726982463928468,8.474458097729685e-17,1.3839840358264817,12.743747395564633,2.1918863950574047e-16,3.579622135269502,33.242168393842604,2.805971134088688e-16,4.582498620895941,43.047440626443574,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,"[0, 0, 0]",2.1638238262653555e-16,3.533792482488655,32.8117012162012,-1.1528989943311192e-16,-1.8828269426479742,-17.48228154033299,-2.7494783713957764e-16,-4.490238937969822,0.4835949376419798,
90,0.9100000000000006,0.019828770080754548,0.9222775320406268,0.2349962647322841,2.9368578161638337,0.10304764267241524,6248.033350445652,117.32907722620264,0.0,0.0,-1150.4555185247716,0.12797220781431862,3.2862613702737465e-14,536.6872101510033,5052.066183781903,1.5707963267948966,0.10711670386225533,1.0806547769713236e-16,1.7648431820892645,16.28322300443219,2.47220775656452e-16,4.037421660328133,37.54753380420535,2.8008925391427507e-16,4.574204645931938,43.058944152793906,1.5707963267948966,0.08731334869050295,2.9582283945787927e-36,0.0011360345581355395,3.944304526105058e-34,0.01471904878152053,"[0, 0, 0]",2.4441970000801566e-16,3.9916766234671117,37.116948838891275,-1.4703319015737998e-16,-2.4012342213240623,-22.328083196695967,-3.4836268421161193e-16,-5.689194377581451,0.6118343482898654,0.0
