,time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],air speed1,air speed2,air speed3,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3,Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,flipped
0,0.01,1.575583126415978,0.9746275096793588,11.851918769177079,-1.179936490369189,-0.04140128036383119,4.397662578214572,0.24189411414997414,2.6968622345134834e-16,-4.397662578214572,-0.24189411414997414,-2.6968622345134834e-16,0.330345066586977,0.018170681771204348,2.0258378595248183e-17,0.0192294291189638,-0.3495932140972462,-4.00795676444404,0.0,120.244,0.0,0.0,-1179.0433135913456,0.00016670480316948691,0.3495744957059408,-0.33142253232604185,-1183.0512703557895,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
10,0.11,1.1156281875924905,0.9746275096793588,10.645362801503163,-0.7488596869259622,-0.02627577848863025,4.822257967900587,0.265249049603426,2.957244938058157e-16,-4.821422901129888,0.015003303854471016,2.3693925566820826,0.4417638003371983,-0.0013746806003704045,-0.2170960485721452,2.361652337051206,0.5143463758950457,4.802415596061305,5398.054294,119.9996630243607,0.0,0.0,-1176.6474513755345,0.009256926058063036,2.8034161373884334,470.9846042015632,4205.450918270366,1.567493597223223,0.11700950377804176,3.403656394429172e-05,0.014341714118337913,0.11953814164589124,0.0010532483314296568,0.3189012236550911,2.712995371603566,0.02336186674807013,3.924882723261901,35.04552273131494,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
20,0.21000000000000005,0.6891558316855415,0.9306193414137528,7.536554306768518,0.11299711280184405,0.0039648109755033,5.306188027907537,0.29186769782710364,3.2540145695992034e-16,-5.301508646123411,0.4289907372558777,6.423574633021401,0.7200031851888586,-0.058261660568375236,-0.8723920877608431,7.077033329892164,0.6845484214295887,5.795104841464433,6850.9465696666675,119.6704307628294,0.0,0.0,-1173.4190320931002,0.02351778952643049,7.79703651508106,597.7258788170017,5656.380307940679,1.563914626416575,0.1113097744274334,0.00031755829229241484,0.06786703208760103,0.5890332269256199,0.005305020097871035,0.7708758099426464,6.897037361367023,0.06515424458138479,4.994766668815738,47.26631526171121,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
30,0.3100000000000001,0.4807626149047941,0.9305773831931012,5.481047539459974,1.0747967961120195,0.03771216828463226,5.813829322059361,0.3197905861730885,3.565325092070762e-16,-5.800418552443037,0.894929198709403,11.085958159609099,1.18469544585057,-0.1827831106469349,-2.26423042162143,13.378160900120664,0.7797961829610752,6.936799616440685,6638.150116333332,119.31742625295871,0.0,0.0,-1169.9573521374355,0.03935092028902348,14.56285634597127,579.1501642557579,5447.605146447708,1.5592390902710562,0.1090157443852434,0.0012658902401849355,0.16969354018813007,1.5123798257919008,0.014601247581226069,1.2633294689851782,11.543331622468221,0.12205137843903295,4.85386068442284,45.65640843524836,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
40,0.4100000000000002,0.3826719418733217,0.9302726879840396,4.425562863675619,1.1346059479018915,0.039810735014101456,6.325290090630742,0.3479235653036223,3.8789779034593553e-16,-6.297162202911713,1.346459379053394,15.586587976768493,1.7283796407515786,-0.3695621778296959,-4.2780446905708684,20.427543287071334,0.7719729645803663,8.18627678086655,6425.353663,118.97557694477877,0.0,0.0,-1166.6048877615815,0.05463339756264192,22.155922927822953,560.4091210974977,5238.206575829286,1.5535969741887303,0.10825063847889764,0.0034408172894660936,0.3200563721708378,2.892274317004134,0.029956627505753317,1.7415581988967481,16.027682392807538,0.1862224457890748,4.710287064694006,44.02757868751957,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
50,0.5100000000000002,0.3269378790688144,0.9285695385384538,3.806223528354493,1.6868023759569446,0.059186048279191036,6.835232955204579,0.37597305188866825,4.1916998617199967e-16,-6.785710928207113,1.7842781965950103,19.931214974688547,2.3288875522989434,-0.6123725761165666,-6.8404856834964916,28.150851872141274,0.6651862345070415,9.524590755420773,6293.162841858695,118.64382646250124,0.0,0.0,-1163.3512879868315,0.06940487599074417,30.47973942444025,548.5383298429834,5108.548253859197,1.547209171627549,0.1079726767609768,0.007483025438783513,0.5175361372075451,4.712615031605778,0.05205435299659444,2.2064847889469887,20.361773539281987,0.2569011834262925,4.623403898864939,43.057851438008136,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
60,0.6100000000000003,0.2901453710622175,0.9268571106597792,3.3907723383722885,1.4269053432865504,0.050066854150405266,7.344740140859297,0.4039985738870004,4.504154640313611e-16,-7.266466672579209,2.2186153884237774,24.23854125987669,2.9918195468596287,-0.9134696662269004,-9.979725332301417,36.65839599575339,0.4632916049507413,10.947405788339582,6281.880469005435,118.31425198771431,0.0,0.0,-1160.1188713883996,0.08408663187293589,39.650215542613054,547.0520141169767,5098.8248058602085,1.5402369236401767,0.10781516985602413,0.0141003579646056,0.7613026767332972,6.9641465077735125,0.08158390126976185,2.668851313269123,24.669479507180423,0.33512628340607953,4.623720345827672,43.09560953307357,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
70,0.7100000000000004,0.2628325665930052,0.92523277196592,3.0793638462414563,1.9054646525407029,0.06685840886107729,7.827983714512068,0.4305794618219868,4.800503284775689e-16,-7.7128609452912285,2.654371795207921,28.54944656317731,3.704523167687552,-1.2749071817517197,-13.712432645698975,45.82455430064614,0.15135153558865191,12.36579739548943,6270.598096152174,117.98526895673555,0.0,0.0,-1156.8921021786184,0.09878040531396624,49.52907746833373,545.3953125257495,5088.497819382205,1.5327213234542258,0.10770347121474376,0.024073553334850884,1.051305084691303,9.64662925384778,0.1192772536968792,3.1311779037841503,28.980714009052814,0.4197903510013248,4.622571252736158,43.12824697842681,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
80,0.8100000000000005,0.2406423377094255,0.9236977639500225,2.8246587314500915,1.5617184917020333,0.05479714005972047,8.257759433747843,0.4542193421080985,5.064062820302492e-16,-8.097152123981775,3.092888444126112,32.863377264077094,4.44298888504166,-1.697099025622436,-18.03246594278188,55.365723852672545,-0.29277513342642314,13.669021467473724,6259.315723298912,117.656877369565,0.0,0.0,-1153.6709815323766,0.1134842878839186,59.80871273771425,543.5456700065233,5077.462690821812,1.5247304528607055,0.10762078673179333,0.03824664627245948,1.3875316606365544,12.760388707146811,0.1656460208183986,3.5933071398694456,33.2949138279101,0.5083316341113887,4.619752641396596,43.15483127155665,1.5707963267948966,0.0872665,0.0,0.0,0.0,0.0,
90,0.9100000000000006,0.22160216951553,0.9222565125316178,2.604997387759901,2.033218097152644,0.07134098586500505,8.625496967502434,0.474446802352076,5.289577499829934e-16,-8.410489592882218,3.534471627190655,37.17970605945216,5.18826371442392,-2.1803452332350983,-22.935421027623896,65.03730868687119,-0.881355253325067,14.795994678298376,6248.033350445652,117.32907722620264,0.0,0.0,-1150.4555106426967,0.12819613352286166,70.07328500746725,541.5418141296253,5065.658250094551,1.5163664260936485,0.10755816128358543,0.05750245211848964,1.7699543142039038,16.305690254994097,0.22093562843205405,4.055076348630497,37.611445327476346,0.5972371611887021,4.6155806125157595,43.17478982919383,1.571155376388776,0.08727716819914792,0.008499325482516962,0.00026091447052572234,0.11605333833278653,0.003900374822876843,0.0
