Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,267,0,0,153,177.6607,3.522954,0,0,0,0,0,0,86,86,0,0
0.09999999,S,0.09999999,0.010,0,1.342377,0,1573.042,266.3981,0.04328002,0,152.837,177.6607,3.546236,157.897932928369,157.3408315402,13.2521678713353,12.6926239218264,12.64407,1.109142,86,86,0.557988,0.05026745
0.2,S,0.2,0.02389555,0,1.314687,0,1621.698,265.5025,0.2564718,0,152.674,177.6607,3.569519,164.408493050457,163.836162460569,13.7063655764879,28.9823788797331,28.877,2.469242,86,86,2.627968,0.228762
0.3,S,0.3,0.03796137,0,1.314606,0,1552.712,264.6122,0.6471512,0,152.5111,177.6607,3.592802,156.634900871106,156.080747831627,13.1640543610703,44.9964821239261,44.83488,3.81011,86,86,6.319963,0.5431774
0.3999999,S,0.3999999,0.05134449,0,1.314627,0,1483.736,263.7611,1.18368,0,152.3481,177.6607,3.616085,148.765361420373,148.229529555197,12.6150436534751,60.2279201878291,60.01191,5.096374,86,86,11.56878,0.9889547
0.4999998,S,0.4999998,0.06407803,0,1.314736,0,1440.409,262.9476,1.843295,0,152.1851,177.6607,3.639367,143.943311330924,143.418659878729,12.2786349200807,74.7457999010801,74.47704,6.33286,86,86,18.29705,1.560683
0.5999997,S,0.5999997,0.07665635,0,1.314929,0,1435.552,262.1458,2.637592,0,152.0221,177.6607,3.66265,143.788098565819,143.263806380035,12.2678062699737,89.1317436939318,88.81054,7.56014,86,86,26.46156,2.255342
0.6999996,S,0.6999996,0.08922144,0,1.315208,0,1430.704,261.3468,3.572644,0,151.8591,177.6607,3.685933,143.613842334355,143.089953409638,12.2556494427923,103.501109568651,103.1275,8.786263,86,86,36.0586,3.072673
0.7999995,S,0.7999995,0.1017724,0,1.315574,0,1425.865,260.5506,4.647892,0,151.6962,177.6607,3.709216,143.474010008078,142.686849048191,15.0084861494014,117.85288506079,117.419916479048,10.0928556024545,85.0872,85.0872,47.10775,4.013771
0.8999994,S,0.8999994,0.1143092,0,1.315213,0,1421.035,259.7572,5.85922,0,151.5332,177.6607,3.732498,143.268633433675,142.440485164435,15.3821166317638,132.186420065524,131.675174403444,11.6145643963927,84.95921,84.95921,59.634,5.098835
0.9999993,S,0.9999993,0.1268288,0,1.31349,0,1416.213,258.9665,7.19982,0,151.3702,177.6607,3.755781,143.044641256202,142.178097564983,15.7212583757722,146.498264806609,145.904928632832,13.1716888521623,84.84156,84.84156,73.58437,6.337869
1.099999,S,1.099999,0.1393297,0,1.311862,0,1411.401,258.1786,8.673403,0,151.2072,177.6607,3.779064,142.801517291406,141.898804101073,16.0313048568411,160.786527623939,160.107519297062,14.7610888430985,84.73251,84.73251,88.95623,7.734253
1.199999,S,1.199999,0.1518105,0,1.310331,0,1406.597,257.3936,10.2785,0,151.0443,177.6607,3.802347,142.53941813849,141.602479602949,16.3163566262702,175.04930623438,174.281244842468,16.380089089226,84.63074,84.63074,105.7468,9.291078
1.299999,S,1.299999,0.1642697,0,1.308896,0,1401.802,256.6113,12.01362,0,150.8813,177.6607,3.825629,142.25816450217,141.288718759016,16.5796055128586,189.284698367365,188.424379833795,18.0263720030101,84.5352,84.5352,123.9531,11.01119
1.399999,S,1.399999,0.1767058,0,1.307561,0,1397.016,255.8318,13.87722,0,150.7183,177.6607,3.848912,141.958030414173,140.95761693671,16.8235735381945,203.490807948644,202.53518614,19.6979008167497,84.44507,84.44507,143.5718,12.8972
1.499999,S,1.499999,0.1891172,0,1.306327,0,1392.238,255.055,15.86776,0,150.5553,177.6607,3.872195,141.638989487333,140.608997308912,17.0503143306892,217.665750286032,216.611920742451,21.3928638100138,84.35969,84.35969,164.5999,14.95155
1.599999,S,1.599999,0.2015026,0,1.305195,0,1387.469,254.2811,17.98366,0,150.3923,177.6607,3.895478,141.301099601206,140.242796297335,17.2614841544463,231.807639463732,230.652826992927,23.10963171964,84.2785,84.2785,187.0336,17.1765
1.699999,S,1.699999,0.2138604,0,1.304167,0,1382.708,253.5099,20.22331,0,150.2294,177.6607,3.918761,140.944440822794,139.858990060118,17.4584735361891,245.914598913842,244.656146852432,24.846726290833,84.20105,84.20105,210.8694,19.57416
1.799999,S,1.799999,0.2261891,0,1.303246,0,1377.956,252.7416,22.58512,0,150.0664,177.6607,3.942043,140.569120273691,139.457598465478,17.6424432764003,259.984757461716,258.620117990433,26.602795094203,84.12696,84.12696,236.1033,22.14648
1.899999,S,1.899999,0.2384874,0,1.302433,0,1373.212,251.976,25.06743,0,149.9034,177.6607,3.965326,140.175087125575,139.038494356837,17.814380080326,274.0162466702,272.542973745126,28.3765915135057,84.0559,84.0559,262.7314,24.89531
1.999998,S,1.999998,0.2507537,0,1.301749,0,1368.477,251.2133,27.66899,0,149.7404,177.6607,3.988609,139.762428537205,138.601699589231,17.9751300855879,288.0072045433,286.422946719584,30.1669600506137,83.9876,83.9876,290.7495,27.82236
2.099998,S,2.099998,0.2629864,0,1.301441,0,1363.75,250.4532,30.39403,0,149.5774,177.6607,4.011892,139.330428664101,138.146447249547,18.1253265915512,301.955730306131,300.258225449182,31.9728176344941,83.9218,83.9218,320.1531,30.92922
2.199998,S,2.199998,0.2751842,0,1.301236,0,1359.031,249.696,33.23555,0,149.4145,177.6607,4.035174,138.879808359671,137.673402922999,18.2656863440851,315.859931079104,314.047001588601,33.793148969562,83.8583,83.8583,350.9378,34.2174
2.299998,S,2.299998,0.2873456,0,1.301137,0,1354.321,248.9416,36.19191,0,149.2515,177.6607,4.058457,138.410734405289,137.182691779346,18.3967517454693,329.717949874719,327.787497349837,35.6270005727322,83.79691,83.79691,383.0986,37.6883
2.399998,S,2.399998,0.299469,0,1.301146,0,1349.619,248.1899,39.26141,0,149.0885,177.6607,4.08174,137.92311190186,136.674178714721,18.5190083252169,343.527939955643,341.47794170008,37.4734706207624,83.73747,83.73747,416.6307,41.34322
2.499998,S,2.499998,0.3115529,0,1.301265,0,1344.925,247.4411,42.44244,0,148.9255,177.6607,4.105022,137.41708928257,136.147976977954,18.6328954192401,357.288058425932,355.11656370586,39.3317027116329,83.67985,83.67985,451.5291,45.18338
2.599998,S,2.599998,0.3235961,0,1.301499,0,1340.24,246.695,45.73332,0,148.7625,177.6607,4.128305,136.892709376116,135.604100476794,18.7387783543492,370.996467346095,368.701594937104,41.2008802617104,83.62389,83.62389,487.7884,49.20992
2.699998,S,2.699998,0.3355969,0,1.301849,0,1335.562,245.9518,49.13242,0,148.5996,177.6607,4.151588,136.350131069063,135.042678354641,18.8370184837112,384.651340006582,382.231275209049,43.0802231803051,83.56949,83.56949,525.4031,53.42389
2.799998,S,2.799998,0.347554,0,1.302321,0,1330.892,245.2113,52.63811,0,148.4366,177.6607,4.174871,135.789347621423,134.463680809173,18.9279019096273,398.250851725486,395.703843164701,44.9689829100681,83.51655,83.51655,564.3677,57.82627
