time,altitude,speed,temperature,voltage
0,10,0,88.75,8.6
0.05,11,27,88.75,8.6
0.1,13,49,88.75,8.6
0.15,17,68,88.75,8.6
0.2,18,64,88.75,8.6
0.25,27,70,88.75,8.6
0.3,26,74,88.75,8.6
0.35,31,76,88.75,8.6
0.4,35,78,88.75,8.6
0.45,40,80,88.75,8.6
0.5,44,81,88.75,8.6
0.55,47,83,88.75,8.6
0.6,50,86,88.75,8.6
0.65,56,89,88.75,8.6
0.7,62,92,88.75,8.6
0.75,67,97,88.75,8.6
0.8,68,102,88.75,8.6
0.85,75,111,88.75,8.6
0.9,81,120,88.75,8.6
0.95,89,131,88.75,8.6
1,95,141,88.75,8.6
1.05,101,150,88.75,8.6
1.1,113,158,88.75,8.6
1.15,119,165,88.75,8.6
1.2,127,172,88.75,8.6
1.25,136,179,88.75,8.6
1.3,145,185,88.75,8.6
1.35,157,188,88.75,8.6
1.4,166,187,88.74,8.6
1.45,175,183,88.75,8.6
1.5,185,177,88.74,8.6
1.55,193,171,88.75,8.6
1.6,199,168,88.75,8.6
1.65,208,166,88.75,8.6
1.7,217,167,88.75,8.6
1.75,225,170,88.75,8.6
1.8,234,173,88.75,8.6
1.85,242,178,88.75,8.6
1.9,251,184,88.75,8.6
1.95,261,190,88.75,8.6
2,270,197,88.75,8.6
2.05,281,204,88.75,8.6
2.1,293,210,88.75,8.6
2.15,301,216,88.75,8.6
2.2,314,221,88.75,8.6
2.25,325,224,88.77,8.6
2.3,337,226,88.75,8.6
2.35,347,227,88.75,8.6
2.4,360,230,88.75,8.6
2.45,371,234,88.75,8.6
2.5,381,242,88.75,8.6
2.55,392,251,88.75,8.6
2.6,409,260,88.75,8.6
2.65,422,265,88.75,8.6
2.7,437,264,88.77,8.6
2.75,449,257,88.75,8.6
2.8,463,250,88.75,8.6
2.85,473,245,88.77,8.6
2.9,484,248,88.79,8.6
2.95,493,261,88.77,8.6
3,509,281,88.75,8.6
3.05,526,302,88.77,8.6
3.1,539,320,88.75,8.6
3.15,561,328,88.77,8.6
3.2,580,322,88.75,8.6
3.25,598,306,88.75,8.6
3.3,604,283,88.75,8.6
3.35,622,257,88.75,8.6
3.4,634,238,88.75,8.6
3.45,641,228,88.75,8.6
3.5,651,230,88.75,8.6
3.55,659,242,88.79,8.6
3.6,674,257,88.79,8.6
3.65,691,267,88.79,8.6
3.7,709,270,88.79,8.6
3.75,724,266,88.79,8.6
3.8,729,261,88.79,8.6
3.85,740,258,88.79,8.6
3.9,755,262,88.79,8.6
3.95,770,271,88.77,8.6
4,786,280,88.79,8.6
4.05,799,289,88.79,8.6
4.1,809,295,88.79,8.6
4.15,830,298,88.77,8.6
4.2,845,301,88.77,8.6
4.25,860,303,88.79,8.6
4.3,872,301,88.79,8.6
4.35,887,296,88.81,8.6
4.4,905,283,88.79,8.6
4.45,925,265,88.79,8.6
4.5,931,247,88.79,8.6
4.55,939,234,88.81,8.6
4.6,949,233,88.79,8.6
4.65,959,242,88.81,8.6
4.7,973,254,88.79,8.6
4.75,991,264,88.79,8.6
4.8,1006,262,88.79,8.6
4.85,1020,243,88.79,8.6
4.9,1030,216,88.79,8.6
4.95,1038,185,88.79,8.6
5,1051,158,88.79,8.6
5.05,1047,142,88.79,8.6
5.1,1050,135,88.81,8.6
5.15,1064,134,88.81,8.6
5.2,1075,140,88.83,8.6
5.25,1079,151,88.79,8.6
5.3,1078,166,88.81,8.6
5.35,1092,187,88.79,8.6
5.4,1104,210,88.81,8.6
5.45,1115,236,88.79,8.6
5.5,1130,262,88.79,8.6
5.55,1145,287,88.79,8.6
5.6,1156,312,88.79,8.6
5.65,1170,330,88.81,8.6
5.7,1196,333,88.83,8.6
5.75,1217,316,88.83,8.6
5.8,1235,275,88.83,8.6
5.85,1247,216,88.81,8.6
5.9,1250,153,88.83,8.6
5.95,1246,88,88.83,8.6
6,1251,19,88.81,8.6
6.05,1257,-48,88.79,8.6
6.1,1253,-117,88.79,8.6
6.15,1249,-174,88.83,8.6
6.2,1212,-204,88.83,8.6
6.25,1190,-207,88.83,8.6
6.3,1196,-191,88.83,8.6
6.35,1195,-173,88.83,8.6
6.4,1192,-173,88.83,8.6
6.45,1179,-195,88.83,8.6
6.5,1170,-231,88.81,8.6
6.55,1155,-270,88.81,8.6
6.6,1124,-298,88.83,8.6
6.65,1117,-311,88.83,8.6
6.7,1108,-308,88.83,8.6
6.75,1093,-306,88.83,8.6
6.8,1055,-311,88.83,8.6
6.85,1002,-313,88.83,8.6
6.9,982,-328,88.83,8.6
6.95,971,-324,88.83,8.6
7,963,-280,88.83,8.6
7.05,1070,-188,88.83,8.6
7.1,1013,-3,88.83,8.6
7.15,974,279,88.84,8.6
7.2,974,618,88.84,8.6
7.25,1006,966,88.84,8.6
7.3,1132,1248,88.84,8.6
7.35,1275,1394,88.83,8.6
7.4,1333,1404,88.83,8.6
7.45,1378,1295,88.83,8.6
7.5,1424,1126,88.83,8.6
7.55,1474,964,88.83,8.6
7.6,1528,836,88.84,8.6
7.65,1554,763,88.86,8.6
7.7,1569,731,88.86,8.6
7.75,1605,711,88.86,8.6
7.8,1651,692,88.83,8.6
7.85,1702,661,88.84,8.6
7.9,1737,618,88.83,8.6
7.95,1752,584,88.83,8.6
8,1755,571,88.81,8.6
8.05,1782,580,88.83,8.6
8.1,1829,619,88.84,8.6
8.15,1874,679,88.84,8.6
8.2,1911,749,88.84,8.6
8.25,1926,842,88.84,8.6
8.3,1942,939,88.83,8.6
8.35,2041,1011,88.84,8.6
8.4,2125,1054,88.83,8.6
8.45,2162,1050,88.83,8.6
8.5,2212,1006,88.83,8.6
8.55,2244,964,88.83,8.6
8.6,2284,939,88.84,8.6
8.65,2337,925,88.83,8.6
8.7,2389,920,88.86,8.6
8.75,2445,906,88.86,8.6
8.8,2487,880,88.86,8.6
8.85,2524,861,88.84,8.6
8.9,2549,863,88.86,8.6
8.95,2588,884,88.86,8.6
9,2654,916,88.84,8.6
9.05,2705,950,88.83,8.6
9.1,2748,959,88.83,8.6
9.15,2801,936,88.83,8.6
9.2,2840,887,88.84,8.6
9.25,2890,804,88.83,8.6
9.3,2950,710,88.84,8.6
9.35,2955,638,88.84,8.6
9.4,2967,603,88.84,8.6
9.45,2993,635,88.86,8.6
9.5,3015,734,88.86,8.6
9.55,3069,858,88.86,8.6
9.6,3125,978,88.83,8.6
9.65,3185,1059,88.86,8.6
9.7,3264,1082,88.86,8.6
9.75,3313,1073,88.84,8.6
9.8,3346,1056,88.84,8.6
9.85,3392,1048,88.83,8.6
9.9,3445,1063,88.84,8.6
9.95,3508,1080,88.83,8.6
10,3571,1079,88.84,8.6
10.05,3630,1059,88.86,8.6
10.1,3674,1017,88.86,8.6
10.15,3730,969,88.86,8.6
10.2,3755,940,88.86,8.6
10.25,3799,933,88.86,8.6
10.3,3856,949,88.86,8.6
10.35,3913,997,88.86,8.6
10.4,3946,1060,88.86,8.6
10.45,3998,1125,88.86,8.6
10.5,4059,1178,88.86,8.6
10.55,4142,1198,88.86,8.6
10.6,4226,1178,88.86,8.6
10.65,4264,1136,88.86,8.6
10.7,4299,1092,88.86,8.6
10.75,4344,1055,88.86,8.6
10.8,4418,1041,88.86,8.6
10.85,4461,1039,88.86,8.6
10.9,4519,1040,88.86,8.6
10.95,4571,1042,88.86,8.6
11,4616,1052,88.88,8.6
11.05,4662,1064,88.88,8.6
11.1,4715,1075,88.88,8.6
11.15,4789,1076,88.86,8.6
11.2,4848,1060,88.86,8.6
11.25,4894,1040,88.86,8.6
