Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,3.2722e-4,0.065446,6.5453,0.065446,6.5453,0,0,0,0,0,0,32,-106,9.7911,89.076,0,0,0,120097,59990,243.65,0.77316,NaN,347.22,NaN,0.012096,1397462,1961.9,2.2002e-6,0.72491,7.5667e-6,0.59772,0.0071667,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0944e-6,20.32,324.29,90,0,4.0587,7.0765,875.45,335.59,0.01,0.01692
0.02,0.0022087,0.31087,24.545,0.31087,24.545,0,0,0,0,0,0,32,-106,9.7911,85.588,0,0,0,120075,59968,243.62,0.77307,NaN,347.22,NaN,0.012042,1391267,4122.9,2.2893e-4,0.72491,7.9435e-4,0.59772,0.0071667,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8449e-5,20.32,324.29,90,0,4.0293,7.0765,875.45,335.59,0.01,0.017412
0.03,0.0067837,0.60415,29.332,0.60415,29.332,0,0,0,0,0,0,32,-106,9.7911,81.411,0,0,0,120050,59943,243.6,0.77297,NaN,347.22,NaN,0.012054,1392626,4696.7,0.0016166,0.72491,0.0055983,0.59772,0.0071667,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4722e-5,20.32,324.29,90,0,3.9998,7.0765,875.45,335.59,0.01,0.017759
0.04,0.014542,0.94759,34.349,0.94759,34.349,0,0,0,0,0,0,32,-106,9.7911,76.577,0,0,0,120023,59916,243.57,0.77286,NaN,347.21,NaN,0.012163,1405260,5297.9,0.0059407,0.72491,0.020205,0.59772,0.0071668,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.172e-4,20.32,324.29,90,0,3.9704,7.0764,875.45,335.59,0.01,0.018088
0.05,0.025895,1.3229,37.535,1.3229,37.535,0,0,0,0,0,0,32,-106,9.7911,71.444,0,0,0,119993,59886,243.54,0.77274,NaN,347.21,NaN,0.012387,1431130,5678.8,0.01528,0.72491,0.050106,0.59772,0.007167,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6362e-4,20.32,324.29,90,0,3.9409,7.0763,875.45,335.59,0.01,0.018417
0.06,0.041116,1.7214,39.86,1.7214,39.86,0,0,0,0,0,0,32,-106,9.7911,66.448,0,0,0,119962,59855,243.5,0.77261,NaN,347.21,NaN,0.012837,1483090,5956.3,0.031428,0.72491,0.095964,0.59772,0.0071674,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1291e-4,20.32,324.29,90,0,3.9491,7.0762,875.45,335.59,0.01,0.019181
0.07,0.06041,2.1375,41.614,2.1375,41.614,0,0,0,0,0,0,32,-106,9.7911,61.625,0,0,0,119929,59822,243.47,0.77248,NaN,347.21,NaN,0.013402,1548382,6165,0.055989,0.72491,0.15684,0.59772,0.0071678,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6437e-4,20.32,324.29,90,0,3.9573,7.0761,875.44,335.59,0.01,0.019558
0.08,0.08393,2.5664,42.9,2.5664,42.9,0,0,0,0,0,0,32,-106,9.7911,57.089,0,0,0,119896,59789,243.43,0.77235,NaN,347.21,NaN,0.014075,1626122,6317.6,0.090012,0.72491,0.22862,0.59772,0.0071684,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1742e-4,20.32,324.29,90,0,3.9654,7.076,875.44,335.59,0.01,0.019892
0.09,0.11179,3.0055,43.916,3.0055,43.916,0,0,0,0,0,0,32,-106,9.7911,52.897,0,0,0,119862,59755,243.39,0.77221,NaN,347.2,NaN,0.014846,1715196,6437.6,0.13415,0.72491,0.30626,0.59772,0.0071692,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7172e-4,20.32,324.29,90,0,3.9736,7.0758,875.44,335.59,0.01,0.020224
0.1,0.14408,3.4527,44.731,3.4527,44.731,0,0,0,0,0,0,32,-106,9.7911,49.07,0,0,0,119828,59721,243.36,0.77207,NaN,347.2,NaN,0.015705,1814358,6533.5,0.18872,0.72492,0.38503,0.59771,0.00717,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2704e-4,20.32,324.29,90,0,3.9817,7.0756,875.44,335.59,0.01,0.02058
