Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,262,0,0,137,165.1468,3.518353,0,0,0,0,0,0,86,86,0,0
0.09999999,S,0.09999999,0.01558949,0,0.9301929,0,1261.126,261.554,0.1009564,0,136.9338,165.1468,3.526626,123.0446852838,122.567976683385,10.8206131217537,18.652820674284,10.21198,0.9390737,86,86,0.4731457,0.0443347
0.2,S,0.2,0.02495373,0,0.9047458,0,1587.767,260.8544,0.2515759,0,136.8676,165.1468,3.534899,163.725219061062,163.154489093782,13.6586985155881,30.09641852991,24.92848,2.193134,86,86,2.194751,0.1984685
0.3,S,0.3,0.03769508,0,0.9047195,0,1539.963,260.0725,0.5739899,0,136.8014,165.1468,3.543172,158.360667800337,157.802485715213,13.2844498669913,44.8158485080493,40.95012,3.538458,86,86,5.493098,0.4853571
0.3999999,S,0.3999999,0.05066726,0,0.9047607,0,1492.178,259.3151,1.036891,0,136.7353,165.1468,3.551445,152.931176446456,152.385656980276,12.9056683665288,59.7122794622424,56.43295,4.846108,86,86,10.36672,0.904898
0.4999998,S,0.4999998,0.06345284,0,0.9048678,0,1462.53,258.5813,1.626038,0,136.6691,165.1468,3.559718,149.694312208468,149.156322288424,12.6798512987399,74.3909148935675,71.4269,6.119569,86,86,16.76227,1.45336
0.5999997,S,0.5999997,0.07626357,0,0.9036723,0,1460.08,257.8545,2.345111,0,136.6029,165.1468,3.567991,149.811245213881,149.272983557961,12.6880089942582,89.121936192056,86.34908,7.388012,86,86,24.65097,2.128733
0.6999996,S,0.6999996,0.08914897,0,0.9025396,0,1457.647,257.129,3.199394,0,136.5367,165.1468,3.576265,149.913112639542,149.37461423581,12.6951157213711,103.933741682688,101.2821,8.657213,86,86,34.03245,2.930988
0.7999995,S,0.7999995,0.1020837,7.949429,0.9014741,0,1455.231,256.4048,4.18853,0,136.4705,165.1468,3.584538,149.999800441797,149.4611,12.70117,118.798681645013,116.2244,9.927065,86,85.11805,44.91517,3.860197
0.8999994,S,0.8999994,0.115031,7.095953,1.119183,1.566828,1452.832,255.6819,6.599744,9.448788,136.4043,151.5363,1.891492,149.913554829,149.4674,11.55726,133.672323881298,131.1677,11.08509,85.98711,85.16936,57.35942,4.910857
