Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (),Lateral velocity (m/s),Lateral acceleration (m/s),Latitude (),Longitude (),Gravitational acceleration (m/s),Angle of attack (),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kgm),Rotational moment of inertia (kgm),CP location (in),CG location (in),Stability margin calibers (),Mach number (),Reynolds number (),Thrust (N),Drag force (N),Drag coefficient (),Axial drag coefficient (),Friction drag coefficient (),Pressure drag coefficient (),Base drag coefficient (),Normal force coefficient (),Pitch moment coefficient (),Yaw moment coefficient (),Side force coefficient (),Roll moment coefficient (),Roll forcing coefficient (),Roll damping coefficient (),Pitch damping coefficient (),Coriolis acceleration (m/s),Reference length (in),Reference area (cm),Vertical orientation (zenith) (),Lateral orientation (azimuth) (),Wind velocity (m/s),Air temperature (C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,7.2634,0,7.2812,0,0,0,0,0,0.50791,28.61,-80.6,9.7882,86,0,0,0,120910,59934,355.65,0.66121,NaN,128.1,NaN,0.03066,4072268,2061,0.0010766,0.80162,6.576e-4,0.6719,0.0095993,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0012275
0.01,3.6317e-4,0.072634,25.852,0.072812,25.915,2.5395e-5,0,2.5395e-5,0,0.0050791,1.8077,28.61,-80.6,9.7882,85.608,0,0,0,120910,59934,355.65,0.66121,NaN,128.1,NaN,0.0304,4037712,4314,0.0013956,0.80162,8.671e-4,0.6719,0.0095991,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3292e-6,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0018293
0.02,0.0023822,0.33119,29.025,0.332,29.096,1.6658e-4,0,1.6658e-4,0,0.023159,2.0296,28.61,-80.6,9.7882,84.198,0,0,0,120894,59919,355.61,0.66116,NaN,128.12,NaN,0.030191,4009899,4698,0.0031242,0.80162,0.0019682,0.67191,0.0095989,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2538e-5,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0023913
0.03,0.0071457,0.62152,32.204,0.62304,32.283,4.9968e-4,0,4.9968e-4,0,0.043461,2.2519,28.61,-80.6,9.7882,82.596,0,0,0,120863,59887,355.54,0.66104,NaN,128.15,NaN,0.030012,3986091,5082,0.0063018,0.80162,0.0040176,0.67191,0.0095988,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9828e-5,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0026888
0.04,0.014971,0.94365,35.385,0.94596,35.472,0.0010469,0,0.0010469,0,0.065987,2.4744,28.61,-80.6,9.7882,80.804,0,0,0,120831,59855,355.46,0.66092,NaN,128.18,NaN,0.029871,3967355,5466,0.011725,0.80162,0.0075458,0.67191,0.0095987,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.212e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0029228
0.05,0.026178,1.2976,38.568,1.3008,38.662,0.0018305,0,0.0018305,0,0.090738,2.697,28.61,-80.6,9.7882,78.824,0,0,0,120799,59824,355.39,0.66081,NaN,128.21,NaN,0.029777,3954872,5850,0.020447,0.80162,0.013242,0.67191,0.0095986,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6667e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0031363
0.06,0.041083,1.6834,41.753,1.6875,41.855,0.0028728,0,0.0028728,0,0.11771,2.9196,28.61,-80.6,9.7882,76.626,0,0,0,120768,59792,355.31,0.66069,NaN,128.24,NaN,0.029629,3935294,6234,0.033801,0.80162,0.022109,0.67191,0.0095985,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1622e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.003307
0.07,0.060005,2.101,44.939,2.1062,45.049,0.0041959,0,0.0041959,0,0.14692,3.1424,28.61,-80.6,9.7882,74.239,0,0,0,120736,59760,355.24,0.66058,NaN,128.27,NaN,0.029551,3924841,6618,0.053463,0.80162,0.035157,0.67191,0.0095984,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6986e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0035753
0.08,0.083262,2.5505,46.683,2.5568,46.797,0.0058223,0,0.0058223,0,0.17835,3.2644,28.61,-80.6,9.7882,71.675,0,0,0,120705,59729,355.17,0.66046,NaN,128.3,NaN,0.029552,3925035,6827.3,0.0814,0.80162,0.053522,0.67191,0.0095984,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2759e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.003939
0.09,0.1111,3.0175,46.987,3.0249,47.101,0.007769,0,0.007769,0,0.211,3.2856,28.61,-80.6,9.7882,69.026,0,0,0,120669,59693,355.08,0.66033,NaN,128.33,NaN,0.029631,3935462,6862,0.11859,0.80162,0.077564,0.67191,0.0095985,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8757e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0041268
