Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.9178653902,0.9178653902,0.8994007723,0.9178653902,0.8994007723,0,0,0,0,12.25812712,162.2399667,153.3521887,1295881
0.02,0,0.9179243902,0.9179243902,0.8994597723,0.9179243902,0.8994597723,0,0,0,0,12.25812712,162.2399667,153.3521887,2591762
0.03,0,0.9180226902,0.9180226902,0.8995580723,0.9180226902,0.8995580723,0,0,0,0,12.25812712,162.2399667,153.3521887,3887643
0.04,0,0.9181604902,0.9181604902,0.8996958723,0.9181604902,0.8996958723,0,0,0,0,12.25812712,162.2399667,153.3521887,5183524
0.05,0,0.9183377902,0.9183377902,0.8998731723,0.9183377902,0.8998731723,0,0,0,0,12.25812712,162.2399667,153.3521887,6479406
0.06,0,0.9185548902,0.9185548902,0.9000902723,0.9185548902,0.9000902723,0,0,0,0,12.25812712,162.2399667,153.3521887,7775286
0.07,0,0.9188118902,0.9188118902,0.9003472723,0.9188118902,0.9003472723,0,0,0,0,12.25812712,162.2399667,153.3521887,9071168
0.08,0,0.9191090902,0.9191090902,0.9006444723,0.9191090902,0.9006444723,0,0,0,0,12.25812712,162.2399667,153.3521887,10367050
0.09,0,0.9194466902,0.9194466902,0.9009820723,0.9194466902,0.9009820723,0,0,0,0,12.25812712,162.2399667,153.3521887,11662930
0.1,0,0.9198249902,0.9198249902,0.9013603723,0.9198249902,0.9013603723,0,0,0,0,12.25812712,162.2399667,153.3521887,12958810
0.11,0,0.9202444902,0.9202444902,0.9017798723,0.9202444902,0.9017798723,0,0,0,0,12.25812712,162.2399667,153.3521887,14254690
0.12,0,0.9207054902,0.9207054902,0.9022408723,0.9207054902,0.9022408723,0,0,0,0,12.25812712,162.2399667,153.3521887,15550570
0.13,0,0.9212083902,0.9212083902,0.9027437723,0.9212083902,0.9027437723,0,0,0,0,12.25812712,162.2399667,153.3521887,16846450
0.14,0,0.9217535902,0.9217535902,0.9032889723,0.9217535902,0.9032889723,0,0,0,0,12.25812712,162.2399667,153.3521887,18142340
0.15,0,0.9223417902,0.9223417902,0.9038771723,0.9223417902,0.9038771723,0,0,0,0,12.25812712,162.2399667,153.3521887,19438220
0.16,0,0.9229733902,0.9229733902,0.9045087723,0.9229733902,0.9045087723,0,0,0,0,12.25812712,162.2399667,153.3521887,20734100
0.17,0,0.9236490902,0.9236490902,0.9051844723,0.9236490902,0.9051844723,0,0,0,0,12.25812712,162.2399667,153.3521887,22029980
0.18,0,0.9243694902,0.9243694902,0.9059048723,0.9243694902,0.9059048723,0,0,0,0,12.25812712,162.2399667,153.3521887,23325860
0.19,0,0.9251352902,0.9251352902,0.9066706723,0.9251352902,0.9066706723,0,0,0,0,12.25812712,162.2399667,153.3521887,24621740
0.2,0,0.9259473902,0.9259473902,0.9074827723,0.9259473902,0.9074827723,0,0,0,0,12.25812712,162.2399667,153.3521887,25917620
0.21,0,0.9268063902,0.9268063902,0.9083417723,0.9268063902,0.9083417723,0,0,0,0,12.25812712,162.2399667,153.3521887,27213500
0.22,0,0.9277132902,0.9277132902,0.9092486723,0.9277132902,0.9092486723,0,0,0,0,12.25812712,162.2399667,153.3521887,28509380
0.23,0,0.9286688902,0.9286688902,0.9102042723,0.9286688902,0.9102042723,0,0,0,0,12.25812712,162.2399667,153.3521887,29805270
0.24,0,0.9296743902,0.9296743902,0.9112097723,0.9296743902,0.9112097723,0,0,0,0,12.25812712,162.2399667,153.3521887,31101150
0.25,0,0.9307306902,0.9307306902,0.9122660723,0.9307306902,0.9122660723,0,0,0,0,12.25812712,162.2399667,153.3521887,32397030
0.26,0,0.9319543517,0.9319543517,0.9134897338,0.9319543517,0.9134897338,0,0,0,0,12.25812712,162.2399667,153.3521887,33692910
0.27,0,0.9332312131,0.9332312131,0.9147665952,0.9332312131,0.9147665952,0,0,0,0,12.25812712,162.2399667,153.3521887,34988790
0.28,0,0.9345623746,0.9345623746,0.9160977567,0.9345623746,0.9160977567,0,0,0,0,12.25812712,162.2399667,153.3521887,36284670
0.29,0,0.935949336,0.935949336,0.9174847181,0.935949336,0.9174847181,0,0,0,0,12.25812712,162.2399667,153.3521887,37580550
0.3,0,0.9373934975,0.9373934975,0.9189288796,0.9373934975,0.9189288796,0,0,0,0,12.25812712,162.2399667,153.3521887,38876440
0.31,0,0.9388963589,0.9388963589,0.920431741,0.9388963589,0.920431741,0,0,0,0,12.25812712,162.2399667,153.3521887,40172320
0.32,0,0.9404595204,0.9404595204,0.9219949025,0.9404595204,0.9219949025,0,0,0,0,12.25812712,162.2399667,153.3521887,41468200
0.33,0,0.9420845818,0.9420845818,0.9236199639,0.9420845818,0.9236199639,0,0,0,0,12.25812712,162.2399667,153.3521887,42764080
0.34,0,0.9437736433,0.9437736433,0.9253090254,0.9437736433,0.9253090254,0,0,0,0,12.25812712,162.2399667,153.3521887,44059960
0.35,0,0.9455284277,0.9455284277,0.9270638098,0.9455284277,0.9270638098,0,0,0,0,12.25812712,162.2399667,153.3521887,45355840
0.36,0,0.9473510891,0.9473510891,0.9288864712,0.9473510891,0.9288864712,0,0,0,0,12.25812712,162.2399667,153.3521887,46651720
0.37,0,0.9492436506,0.9492436506,0.9307790327,0.9492436506,0.9307790327,0,0,0,0,12.25812712,162.2399667,153.3521887,47947600
0.38,0,0.951208612,0.951208612,0.9327439941,0.951208612,0.9327439941,0,0,0,0,12.25812712,162.2399667,153.3521887,49243480
0.39,0,0.9532482735,0.9532482735,0.9347836556,0.9532482735,0.9347836556,0,0,0,0,12.25812712,162.2399667,153.3521887,50539360
0.4,0,0.9553654349,0.9553654349,0.936900817,0.9553654349,0.936900817,0,0,0,0,12.25812712,162.2399667,153.3521887,51835240
0.41,0,0.9575627964,0.9575627964,0.9390981785,0.9575627964,0.9390981785,0,0,0,0,12.25812712,162.2399667,153.3521887,53131120
0.42,0,0.9598433578,0.9598433578,0.9413787399,0.9598433578,0.9413787399,0,0,0,0,12.25812712,162.2399667,153.3521887,54427000
0.43,0,0.9622102193,0.9622102193,0.9437456014,0.9622102193,0.9437456014,0,0,0,0,12.25812712,162.2399667,153.3521887,55722890
0.44,0,0.9646668807,0.9646668807,0.9462022628,0.9646668807,0.9462022628,0,0,0,0,12.25812712,162.2399667,153.3521887,57018770
0.45,0,0.9672168422,0.9672168422,0.9487522243,0.9672168422,0.9487522243,0,0,0,0,12.25812712,162.2399667,153.3521887,58314650
0.46,0,0.9698640036,0.9698640036,0.9513993857,0.9698640036,0.9513993857,0,0,0,0,12.25812712,162.2399667,153.3521887,59610530
0.47,0,0.9726125651,0.9726125651,0.9541479472,0.9726125651,0.9541479472,0,0,0,0,12.25812712,162.2399667,153.3521887,60906410
0.48,0,0.9754668265,0.9754668265,0.9570022086,0.9754668265,0.9570022086,0,0,0,0,12.25812712,162.2399667,153.3521887,62202290
0.49,0,0.978431588,0.978431588,0.9599669701,0.978431588,0.9599669701,0,0,0,0,12.25812712,162.2399667,153.3521887,63498180
0.5,0,0.9815119724,0.9815119724,0.9630473545,0.9815119724,0.9630473545,0,0,0,0,12.25812712,162.2399667,153.3521887,64794060
0.51,0,0.9847133338,0.9847133338,0.9662487159,0.9847133338,0.9662487159,0,0,0,0,12.25812712,162.2399667,153.3521887,66089940
0.52,0,0.9880414953,0.9880414953,0.9695768774,0.9880414953,0.9695768774,0,0,0,0,12.25812712,162.2399667,153.3521887,67385820
0.53,0,0.9915029567,0.9915029567,0.9730383388,0.9915029567,0.9730383388,0,0,0,0,12.25812712,162.2399667,153.3521887,68681700
