Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
0.00000,288.150,101325,1.22500,340.294,0.0000181206
0.100000,287.500,100129,1.21328,339.910,0.0000180881
0.200000,286.850,98945.3,1.20165,339.526,0.0000180556
0.300000,286.200,97772.6,1.19011,339.141,0.0000180230
0.400000,285.550,96611.1,1.17864,338.755,0.0000179905
0.500000,284.900,95460.8,1.16727,338.370,0.0000179579
0.600000,284.250,94321.7,1.15598,337.983,0.0000179252
0.700000,283.600,93193.6,1.14477,337.597,0.0000178925
0.800000,282.950,92076.4,1.13364,337.210,0.0000178598
0.900000,282.300,90970.1,1.12260,336.822,0.0000178271
1.00000,281.650,89874.6,1.11164,336.434,0.0000177943
1.10000,281.000,88789.8,1.10077,336.046,0.0000177615
1.20000,280.350,87715.6,1.08997,335.657,0.0000177286
1.30000,279.700,86651.9,1.07925,335.267,0.0000176957
1.40000,279.050,85598.8,1.06862,334.878,0.0000176628
1.50000,278.400,84556.0,1.05807,334.487,0.0000176298
1.60000,277.750,83523.5,1.04759,334.097,0.0000175968
1.70000,277.100,82501.3,1.03720,333.705,0.0000175638
1.80000,276.450,81489.2,1.02688,333.314,0.0000175307
1.90000,275.800,80487.2,1.01665,332.922,0.0000174976
2.00000,275.150,79495.2,1.00649,332.529,0.0000174645
2.10000,274.500,78513.1,0.996410,332.136,0.0000174313
2.20000,273.850,77540.9,0.986407,331.743,0.0000173981
2.30000,273.200,76578.4,0.976481,331.349,0.0000173649
2.40000,272.550,75625.7,0.966632,330.954,0.0000173316
2.50000,271.900,74682.5,0.956859,330.560,0.0000172983
2.60000,271.250,73748.9,0.947162,330.164,0.0000172649
2.70000,270.600,72824.8,0.937540,329.768,0.0000172315
2.80000,269.950,71910.1,0.927993,329.372,0.0000171981
2.90000,269.300,71004.7,0.918520,328.975,0.0000171646
3.00000,268.650,70108.5,0.909122,328.578,0.0000171311
3.10000,268.000,69221.6,0.899798,328.180,0.0000170976
3.20000,267.350,68343.7,0.890546,327.782,0.0000170640
3.30000,266.700,67474.9,0.881368,327.383,0.0000170304
3.40000,266.050,66615.0,0.872262,326.984,0.0000169967
3.50000,265.400,65764.1,0.863229,326.584,0.0000169630
3.60000,264.750,64921.9,0.854267,326.184,0.0000169293
3.70000,264.100,64088.6,0.845377,325.784,0.0000168955
3.80000,263.450,63263.9,0.836557,325.382,0.0000168617
3.90000,262.800,62447.8,0.827808,324.981,0.0000168279
4.00000,262.150,61640.2,0.819129,324.579,0.0000167940
4.10000,261.500,60841.2,0.810520,324.176,0.0000167601
4.20000,260.850,60050.5,0.801981,323.773,0.0000167261
4.30000,260.200,59268.2,0.793510,323.369,0.0000166922
4.40000,259.550,58494.2,0.785108,322.965,0.0000166581
4.50000,258.900,57728.3,0.776775,322.560,0.0000166241
4.60000,258.250,56970.6,0.768509,322.155,0.0000165900
4.70000,257.600,56221.0,0.760310,321.750,0.0000165558
4.80000,256.950,55479.4,0.752179,321.343,0.0000165216
4.90000,256.300,54745.7,0.744114,320.937,0.0000164874
5.00000,255.650,54019.9,0.736116,320.529,0.0000164531
5.10000,255.000,53301.9,0.728183,320.122,0.0000164188
5.20000,254.350,52591.7,0.720317,319.713,0.0000163845
5.30000,253.700,51889.1,0.712515,319.305,0.0000163501
5.40000,253.050,51194.2,0.704778,318.895,0.0000163157
5.50000,252.400,50506.8,0.697106,318.486,0.0000162813
5.60000,251.750,49826.9,0.689497,318.075,0.0000162468
5.70000,251.100,49154.5,0.681953,317.664,0.0000162122
5.80000,250.450,48489.4,0.674471,317.253,0.0000161777
5.90000,249.800,47831.6,0.667053,316.841,0.0000161430
6.00000,249.150,47181.0,0.659697,316.428,0.0000161084
6.10000,248.500,46537.7,0.652404,316.015,0.0000160737
6.20000,247.850,45901.4,0.645172,315.602,0.0000160390
6.30000,247.200,45272.3,0.638002,315.188,0.0000160042
6.40000,246.550,44650.1,0.630892,314.773,0.0000159694
6.50000,245.900,44034.8,0.623844,314.358,0.0000159345
6.60000,245.250,43426.5,0.616856,313.942,0.0000158996
6.70000,244.600,42825.0,0.609928,313.526,0.0000158647
6.80000,243.950,42230.2,0.603060,313.109,0.0000158297
6.90000,243.300,41642.2,0.596251,312.692,0.0000157947
7.00000,242.650,41060.7,0.589501,312.274,0.0000157596
7.10000,242.000,40485.9,0.582810,311.855,0.0000157245
7.20000,241.350,39917.6,0.576177,311.436,0.0000156894
7.30000,240.700,39355.8,0.569602,311.016,0.0000156542
7.40000,240.050,38800.4,0.563084,310.596,0.0000156190
7.50000,239.400,38251.4,0.556624,310.175,0.0000155837
7.60000,238.750,37708.7,0.550220,309.754,0.0000155484
7.70000,238.100,37172.2,0.543873,309.332,0.0000155131
7.80000,237.450,36642.0,0.537582,308.909,0.0000154777
7.90000,236.800,36117.8,0.531347,308.486,0.0000154423
8.00000,236.150,35599.8,0.525168,308.063,0.0000154068
8.10000,235.500,35087.8,0.519043,307.638,0.0000153713
8.20000,234.850,34581.8,0.512973,307.214,0.0000153357
8.30000,234.200,34081.7,0.506958,306.788,0.0000153001
8.40000,233.550,33587.5,0.500997,306.362,0.0000152645
8.50000,232.900,33099.0,0.495090,305.935,0.0000152288
8.60000,232.250,32616.4,0.489236,305.508,0.0000151931
8.70000,231.600,32139.5,0.483435,305.080,0.0000151573
8.80000,230.950,31668.2,0.477687,304.652,0.0000151215
8.90000,230.300,31202.6,0.471992,304.223,0.0000150857
9.00000,229.650,30742.5,0.466348,303.793,0.0000150498
9.10000,229.000,30287.9,0.460756,303.363,0.0000150138
9.20000,228.350,29838.7,0.455216,302.932,0.0000149778
9.30000,227.700,29395.0,0.449727,302.501,0.0000149418
9.40000,227.050,28956.7,0.444289,302.069,0.0000149058
9.50000,226.400,28523.6,0.438901,301.636,0.0000148696
9.60000,225.750,28095.8,0.433563,301.203,0.0000148335
9.70000,225.100,27673.2,0.428275,300.769,0.0000147973
9.80000,224.450,27255.8,0.423036,300.334,0.0000147610
9.90000,223.800,26843.5,0.417847,299.899,0.0000147247
10.0000,223.150,26436.3,0.412707,299.463,0.0000146884
10.1000,222.500,26034.0,0.407615,299.027,0.0000146520
10.2000,221.850,25636.8,0.402571,298.590,0.0000146156
10.3000,221.200,25244.5,0.397575,298.152,0.0000145792
10.4000,220.550,24857.0,0.392627,297.714,0.0000145426
10.5000,219.900,24474.4,0.387725,297.275,0.0000145061
10.6000,219.250,24096.5,0.382871,296.835,0.0000144695
10.7000,218.600,23723.4,0.378064,296.395,0.0000144328
10.8000,217.950,23355.0,0.373303,295.954,0.0000143962
10.9000,217.300,22991.2,0.368588,295.512,0.0000143594
11.0000,216.650,22632.1,0.363918,295.070,0.0000143226
11.1000,216.650,22278.0,0.358224,295.070,0.0000143226
11.2000,216.650,21929.4,0.352620,295.070,0.0000143226
11.3000,216.650,21586.3,0.347103,295.070,0.0000143226
11.4000,216.650,21248.6,0.341673,295.070,0.0000143226
11.5000,216.650,20916.2,0.336327,295.070,0.0000143226
11.6000,216.650,20589.0,0.331065,295.070,0.0000143226
11.7000,216.650,20266.8,0.325886,295.070,0.0000143226
11.8000,216.650,19949.8,0.320787,295.070,0.0000143226
11.9000,216.650,19637.6,0.315768,295.070,0.0000143226
12.0000,216.650,19330.4,0.310828,295.070,0.0000143226
12.1000,216.650,19028.0,0.305965,295.070,0.0000143226
12.2000,216.650,18730.3,0.301178,295.070,0.0000143226
12.3000,216.650,18437.2,0.296466,295.070,0.0000143226
12.4000,216.650,18148.8,0.291828,295.070,0.0000143226
12.5000,216.650,17864.8,0.287262,295.070,0.0000143226
12.6000,216.650,17585.4,0.282768,295.070,0.0000143226
12.7000,216.650,17310.2,0.278344,295.070,0.0000143226
12.8000,216.650,17039.4,0.273989,295.070,0.0000143226
12.9000,216.650,16772.8,0.269703,295.070,0.0000143226
13.0000,216.650,16510.4,0.265483,295.070,0.0000143226
13.1000,216.650,16252.1,0.261330,295.070,0.0000143226
13.2000,216.650,15997.8,0.257241,295.070,0.0000143226
13.3000,216.650,15747.5,0.253217,295.070,0.0000143226
13.4000,216.650,15501.2,0.249255,295.070,0.0000143226
13.5000,216.650,15258.7,0.245355,295.070,0.0000143226
13.6000,216.650,15019.9,0.241517,295.070,0.0000143226
13.7000,216.650,14784.9,0.237738,295.070,0.0000143226
13.8000,216.650,14553.6,0.234019,295.070,0.0000143226
