Altitude,Speed
0,3.086664
304.8,4.2184408
609.6,4.629996
914.4,4.6814404
1219.2,4.7328848
1524,4.6814404
1828.8,4.7328848
2133.6,4.887218
2438.4,5.1958844
2743.2,5.5045508
3048,5.8132172
3352.8,6.1218836
3657.6,6.3276612
3962.4,6.3791056
4267.2,6.5334388
4572,6.7392164
4876.8,6.7906608
5181.6,6.7906608
5486.4,6.7906608
5791.2,6.8421052
6096,6.944994
6400.8,7.1507716
6705.6,7.3051048
7010.4,7.6137712
7315.2,7.9224376
7620,8.231104
7924.8,8.745548
8229.6,9.00277
8534.4,9.3628808
8839.2,9.9287692
9144,10.3917688
9448.8,10.9062128
9753.6,11.3692124
10058.4,11.7293232
10363.2,12.089434
10668,12.2437672
10972.8,12.2437672
11277.6,12.089434
11582.4,11.7807676
11887.2,11.4206568
12192,11.2148792
12496.8,10.9576572
12801.6,10.5975464
13106.4,9.9802136
13411.2,9.1571032
13716,8.5397704
14020.8,7.9224376
14325.6,7.71666
14630.4,7.3565492
14935.2,6.9964384
15240,6.8935496
15544.8,7.202216
15849.6,7.3565492
16154.4,7.459438
16459.2,7.8709932
16764,8.0253264
17068.8,8.0253264
17373.6,8.5912148
17678.4,9.1571032
17983.2,9.5686584
18288,9.8258804
18592.8,10.4432132
18897.6,10.9576572
19202.4,11.6264344
19507.2,12.1923228
19812,12.2952116
20116.8,12.8096556
20421.6,13.118322
20726.4,13.4269884
21031.2,14.1986544
21336,14.1986544
21640.8,14.404432
21945.6,14.3015432
22250.4,14.2500988
22555.2,14.7645428
22860,15.0732092
23164.8,15.43332
23469.6,15.690542
23774.4,16.0506528
24079.2,16.2564304
24384,16.1020972
24688.8,16.6165412
24993.6,17.0280964
25298.4,17.6968736
25603.2,18.1598732
25908,18.1598732
26212.8,18.5714284
26517.6,18.9315392
26822.4,19.1887612
27127.2,19.4974276
27432,19.7032052
27736.8,19.7032052
28041.6,20.2690936
28346.4,20.7835376
28651.2,20.9893152
28956,21.2465372
29260.8,21.606648
29565.6,21.86387
29870.4,22.635536
30175.2,22.892758
30480,23.2528688
30784.8,23.3557576
